Arizona, Palmer Drought Severity Index (PDSI), January
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189501,1.67,1.92
189601,-0.79,-0.54
189701,2.22,2.47
189801,-0.22,0.03
189901,-1.67,-1.42
190001,-3.70,-3.45
190101,-3.55,-3.30
190201,-3.69,-3.44
190301,-3.74,-3.49
190401,-3.54,-3.29
190501,0.98,1.23
190601,5.74,5.99
190701,5.89,6.14
190801,2.86,3.11
190901,2.22,2.47
191001,0.56,0.81
191101,0.63,0.88
191201,-1.50,-1.25
191301,-0.93,-0.68
191401,-0.18,0.07
191501,2.88,3.13
191601,5.74,5.99
191701,3.99,4.24
191801,0.34,0.59
191901,0.57,0.82
192001,4.04,4.29
192101,-1.16,-0.91
192201,1.56,1.81
192301,-1.08,-0.83
192401,-0.36,-0.11
192501,-1.62,-1.37
192601,-0.80,-0.55
192701,-0.51,-0.26
192801,-0.91,-0.66
192901,-1.98,-1.73
193001,-1.00,-0.75
193101,-0.86,-0.61
193201,3.01,3.26
193301,1.15,1.40
193401,-1.40,-1.15
193501,0.63,0.88
193601,-0.80,-0.55
193701,1.03,1.28
193801,-1.72,-1.47
193901,-0.99,-0.74
194001,-1.17,-0.92
194101,3.16,3.41
194201,-0.33,-0.08
194301,-1.50,-1.25
194401,-0.72,-0.47
194501,0.60,0.85
194601,-0.98,-0.73
194701,-0.67,-0.42
194801,-2.44,-2.19
194901,1.67,1.92
195001,-0.91,-0.66
195101,-3.63,-3.38
195201,1.85,2.10
195301,-0.66,-0.41
195401,-2.15,-1.90
195501,-1.56,-1.31
195601,-2.23,-1.98
195701,0.99,1.24
195801,-1.03,-0.78
195901,-1.70,-1.45
196001,1.90,2.15
196101,-1.38,-1.13
196201,1.04,1.29
196301,-1.53,-1.28
196401,-1.77,-1.52
196501,0.25,0.50
196601,3.46,3.71
196701,-0.63,-0.38
196801,1.40,1.65
196901,0.23,0.48
197001,-1.06,-0.81
197101,-1.48,-1.23
197201,-0.72,-0.47
197301,2.94,3.19
197401,-1.86,-1.61
197501,-2.08,-1.83
197601,-2.05,-1.80
197701,-0.75,-0.50
197801,1.08,1.33
197901,6.07,6.32
198001,3.05,3.30
198101,-2.55,-2.30
198201,0.24,0.49
198301,2.32,2.57
198401,-0.46,-0.21
198501,3.55,3.80
198601,-1.19,-0.94
198701,0.92,1.17
198801,1.16,1.41
198901,-0.82,-0.57
199001,-4.06,-3.81
199101,0.90,1.15
199201,0.98,1.23
199301,6.42,6.67
199401,-1.16,-0.91
199501,2.03,2.28
199601,-2.92,-2.67
199701,-3.09,-2.84
199801,0.12,0.37
199901,-1.46,-1.21
200001,-2.97,-2.72
200101,1.67,1.92
200201,-2.69,-2.44
200301,-4.69,-4.44
200401,-3.48,-3.23
200501,2.92,3.17
200601,-2.87,-2.62
200701,-3.03,-2.78
200801,-2.08,-1.83
200901,-1.43,-1.18
201001,1.59,1.84
201101,-1.39,-1.14
201201,-2.68,-2.43
201301,-2.82,-2.57
201401,-2.25,-2.00
201501,-1.78,-1.53
201601,-0.25,0.00
201701,-0.80,-0.55
201801,-4.09,-3.84
