Arizona, Palmer Drought Severity Index (PDSI), October
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189510,1.08,1.36
189610,2.37,2.65
189710,0.92,1.20
189810,-2.43,-2.15
189910,-2.61,-2.33
190010,-4.22,-3.94
190110,-3.02,-2.74
190210,-5.31,-5.03
190310,-2.25,-1.97
190410,-3.31,-3.03
190510,4.92,5.20
190610,4.18,4.46
190710,5.32,5.60
190810,2.08,2.36
190910,-0.73,-0.45
191010,-2.66,-2.38
191110,3.10,3.38
191210,2.26,2.54
191310,-0.94,-0.66
191410,1.04,1.32
191510,3.86,4.14
191610,5.10,5.38
191710,-1.32,-1.04
191810,-0.83,-0.55
191910,3.54,3.82
192010,0.56,0.84
192110,1.58,1.86
192210,-0.82,-0.54
192310,1.08,1.36
192410,-1.53,-1.25
192510,1.53,1.81
192610,-0.40,-0.12
192710,-0.22,0.06
192810,-2.11,-1.83
192910,-0.48,-0.20
193010,0.24,0.52
193110,1.88,2.16
193210,-0.46,-0.18
193310,-0.22,0.06
193410,-4.07,-3.79
193510,-0.70,-0.42
193610,0.19,0.47
193710,-0.80,-0.52
193810,-1.47,-1.19
193910,-0.34,-0.06
194010,1.59,1.87
194110,7.58,7.86
194210,-1.38,-1.10
194310,-0.15,0.13
194410,-1.19,-0.91
194510,-0.72,-0.44
194610,1.18,1.46
194710,-2.69,-2.41
194810,-2.00,-1.72
194910,-0.10,0.18
195010,-3.12,-2.84
195110,1.14,1.42
195210,-1.22,-0.94
195310,-1.73,-1.45
195410,-1.40,-1.12
195510,-1.54,-1.26
195610,-4.62,-4.34
195710,1.48,1.76
195810,-0.02,0.26
195910,0.89,1.17
196010,-0.70,-0.42
196110,0.56,0.84
196210,-1.14,-0.86
196310,-1.30,-1.02
196410,0.24,0.52
196510,1.28,1.56
196610,-0.22,0.06
196710,-0.61,-0.33
196810,-1.00,-0.72
196910,0.18,0.46
197010,-0.24,0.04
197110,2.10,2.38
197210,2.78,3.06
197310,-2.14,-1.86
197410,-1.66,-1.38
197510,-1.75,-1.47
197610,0.02,0.30
197710,-1.72,-1.44
197810,2.15,2.43
197910,3.63,3.91
198010,-1.07,-0.79
198110,-1.71,-1.43
198210,0.66,0.94
198310,6.87,7.15
198410,2.36,2.64
198510,3.06,3.34
198610,0.79,1.07
198710,0.35,0.63
198810,-0.66,-0.38
198910,-3.87,-3.59
199010,1.05,1.33
199110,-1.17,-0.89
199210,3.62,3.90
199310,0.27,0.55
199410,0.14,0.42
199510,-1.45,-1.17
199610,-3.75,-3.47
199710,0.48,0.76
199810,0.45,0.73
199910,-0.90,-0.62
200010,2.19,2.47
200110,-1.81,-1.53
200210,-4.68,-4.40
200310,-4.02,-3.74
200410,1.18,1.46
200510,-0.85,-0.57
200610,-2.32,-2.04
200710,-4.24,-3.96
200810,-1.59,-1.31
200910,-4.30,-4.02
201010,-0.52,-0.24
201110,-3.11,-2.83
201210,-3.57,-3.29
201310,-2.05,-1.77
201410,-2.23,-1.95
201510,0.84,1.12
201610,-2.49,-2.21
201710,-2.37,-2.09
