Arizona, Palmer Drought Severity Index (PDSI), December
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189512,-0.35,-0.05
189612,1.25,1.55
189712,-0.87,-0.57
189812,-1.77,-1.47
189912,-3.10,-2.80
190012,-3.89,-3.59
190112,-3.72,-3.42
190212,-3.53,-3.23
190312,-3.23,-2.93
190412,-3.53,-3.23
190512,6.28,6.58
190612,5.39,5.69
190712,3.45,3.75
190812,2.55,2.85
190912,0.42,0.72
191012,0.17,0.47
191112,-0.78,-0.48
191212,-0.79,-0.49
191312,-0.20,0.10
191412,1.90,2.20
191512,3.91,4.21
191612,3.43,3.73
191712,-2.66,-2.36
191812,0.89,1.19
191912,3.76,4.06
192012,-0.98,-0.68
192112,1.10,1.40
192212,-0.75,-0.45
192312,2.79,3.09
192412,-1.27,-0.97
192512,-0.46,-0.16
192612,1.03,1.33
192712,-0.32,-0.02
192812,-2.02,-1.72
192912,-1.60,-1.30
193012,-0.52,-0.22
193112,3.23,3.53
193212,0.53,0.83
193312,-0.83,-0.53
193412,0.13,0.43
193512,-0.56,-0.26
193612,0.57,0.87
193712,-1.47,-1.17
193812,-1.17,-0.87
193912,-0.86,-0.56
194012,2.87,3.17
194112,6.55,6.85
194212,-1.95,-1.65
194312,-0.60,-0.30
194412,0.62,0.92
194512,-1.10,-0.80
194612,-0.23,0.07
194712,-2.02,-1.72
194812,0.29,0.59
194912,-0.62,-0.32
195012,-4.12,-3.82
195112,1.50,1.80
195212,-0.03,0.27
195312,-2.34,-2.04
195412,-2.36,-2.06
195512,-2.06,-1.76
195612,-4.83,-4.53
195712,-0.48,-0.18
195812,-1.02,-0.72
195912,1.52,1.82
196012,-1.15,-0.85
196112,0.79,1.09
196212,-1.41,-1.11
196312,-1.42,-1.12
196412,0.11,0.41
196512,3.66,3.96
196612,-0.19,0.11
196712,1.70,2.00
196812,-0.85,-0.55
196912,-0.46,-0.16
197012,-0.88,-0.58
197112,1.69,1.99
197212,3.16,3.46
197312,-2.49,-2.19
197412,-1.89,-1.59
197512,-1.51,-1.21
197612,-0.90,-0.60
197712,-2.24,-1.94
197812,4.76,5.06
197912,2.37,2.67
198012,-2.20,-1.90
198112,-2.11,-1.81
198212,2.29,2.59
198312,5.87,6.17
198412,3.40,3.70
198512,-0.42,-0.12
198612,1.01,1.31
198712,1.12,1.42
198812,-1.16,-0.86
198912,-4.30,-4.00
199012,0.97,1.27
199112,0.78,1.08
199212,3.92,4.22
199312,-0.52,-0.22
199412,1.16,1.46
199512,-2.30,-2.00
199612,-3.87,-3.57
199712,0.61,0.91
199812,-0.56,-0.26
199912,-2.32,-2.02
200012,1.36,1.66
200112,-2.21,-1.91
200212,-4.21,-3.91
200312,-3.45,-3.15
200412,1.99,2.29
200512,-2.19,-1.89
200612,-3.10,-2.80
200712,-3.13,-2.83
200812,-1.02,-0.72
200912,0.06,0.36
201012,-0.73,-0.43
201112,-2.20,-1.90
201212,-3.38,-3.08
201312,-1.46,-1.16
201412,-2.34,-2.04
201512,-0.40,-0.10
201612,-1.63,-1.33
201712,-3.71,-3.41
