Arizona, Palmer Drought Severity Index (PDSI), August
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189508,1.62,1.83
189608,1.01,1.22
189708,-1.11,-0.90
189808,-1.13,-0.92
189908,-2.51,-2.30
190008,-5.23,-5.02
190108,-2.66,-2.45
190208,-5.29,-5.08
190308,-2.58,-2.37
190408,-3.17,-2.96
190508,6.12,6.33
190608,6.48,6.69
190708,5.71,5.92
190808,2.67,2.88
190908,4.05,4.26
191008,-1.97,-1.76
191108,1.71,1.92
191208,2.21,2.42
191308,-0.57,-0.36
191408,-0.30,-0.09
191508,6.03,6.24
191608,4.72,4.93
191708,-0.58,-0.37
191808,0.41,0.62
191908,3.15,3.36
192008,-0.22,-0.01
192108,2.45,2.66
192208,2.08,2.29
192308,1.05,1.26
192408,-1.27,-1.06
192508,0.04,0.25
192608,-1.52,-1.31
192708,2.12,2.33
192808,-1.98,-1.77
192908,0.92,1.13
193008,0.83,1.04
193108,2.53,2.74
193208,-0.24,-0.03
193308,-0.54,-0.33
193408,-3.49,-3.28
193508,2.74,2.95
193608,0.10,0.31
193708,-0.53,-0.32
193808,-0.52,-0.31
193908,-1.67,-1.46
194008,-2.84,-2.63
194108,7.64,7.85
194208,-1.19,-0.98
194308,0.45,0.66
194408,-1.13,-0.92
194508,1.05,1.26
194608,0.56,0.77
194708,-2.87,-2.66
194808,-2.13,-1.92
194908,-0.58,-0.37
195008,-2.37,-2.16
195108,1.65,1.86
195208,-0.30,-0.09
195308,-0.26,-0.05
195408,-1.14,-0.93
195508,2.21,2.42
195608,-4.08,-3.87
195708,0.80,1.01
195808,1.05,1.26
195908,0.83,1.04
196008,-1.69,-1.48
196108,0.58,0.79
196208,-1.90,-1.69
196308,-1.68,-1.47
196408,0.48,0.69
196508,1.96,2.17
196608,2.69,2.90
196708,0.77,0.98
196808,1.96,2.17
196908,0.16,0.37
197008,-0.02,0.19
197108,1.14,1.35
197208,-3.62,-3.41
197308,-0.77,-0.56
197408,-3.37,-3.16
197508,-1.83,-1.62
197608,-1.72,-1.51
197708,-2.35,-2.14
197808,2.70,2.91
197908,6.12,6.33
198008,-0.52,-0.31
198108,-2.38,-2.17
198208,1.18,1.39
198308,5.72,5.93
198408,2.11,2.32
198508,2.35,2.56
198608,0.38,0.59
198708,-0.32,-0.11
198808,1.83,2.04
198908,-3.87,-3.66
199008,1.04,1.25
199108,-0.87,-0.66
199208,5.27,5.48
199308,-0.25,-0.04
199408,-2.77,-2.56
199508,-0.81,-0.60
199608,-5.19,-4.98
199708,0.01,0.22
199808,-0.40,-0.19
199908,1.53,1.74
200008,-4.49,-4.28
200108,-0.61,-0.40
200208,-6.20,-5.99
200308,-3.88,-3.67
200408,-4.38,-4.17
200508,-0.17,0.04
200608,-3.49,-3.28
200708,-4.11,-3.90
200808,-0.61,-0.40
200908,-4.06,-3.85
201008,-0.27,-0.06
201108,-3.48,-3.27
201208,-3.39,-3.18
201308,-2.55,-2.34
201408,-3.33,-3.12
201508,0.24,0.45
201608,-2.39,-2.18
201708,-1.24,-1.03
