Arizona, Palmer Hydrological Drought Index (PHDI), October
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189510,1.08,1.13
189610,2.37,2.42
189710,0.92,0.97
189810,-2.43,-2.38
189910,-2.61,-2.56
190010,-4.22,-4.17
190110,-3.02,-2.97
190210,-5.31,-5.26
190310,-2.25,-2.20
190410,-3.31,-3.26
190510,4.92,4.97
190610,4.18,4.23
190710,5.32,5.37
190810,2.08,2.13
190910,2.66,2.71
191010,-2.66,-2.61
191110,3.10,3.15
191210,2.26,2.31
191310,-0.94,-0.89
191410,1.04,1.09
191510,3.86,3.91
191610,5.10,5.15
191710,1.99,2.04
191810,-1.41,-1.36
191910,3.54,3.59
192010,4.29,4.34
192110,1.58,1.63
192210,0.85,0.90
192310,1.08,1.13
192410,-1.53,-1.48
192510,1.53,1.58
192610,-0.94,-0.89
192710,2.48,2.53
192810,-2.11,-2.06
192910,0.77,0.82
193010,0.24,0.29
193110,1.88,1.93
193210,2.83,2.88
193310,1.25,1.30
193410,-4.07,-4.02
193510,1.67,1.72
193610,-0.85,-0.80
193710,0.88,0.93
193810,-1.47,-1.42
193910,1.02,1.07
194010,-0.69,-0.64
194110,7.58,7.63
194210,0.90,0.95
194310,-1.84,-1.79
194410,-1.19,-1.14
194510,-0.72,-0.67
194610,-0.60,-0.55
194710,-2.69,-2.64
194810,-2.00,-1.95
194910,1.45,1.50
195010,-3.12,-3.07
195110,-1.44,-1.39
195210,1.80,1.85
195310,-1.73,-1.68
195410,-1.40,-1.35
195510,-1.54,-1.49
195610,-4.62,-4.57
195710,1.48,1.53
195810,1.82,1.87
195910,-1.65,-1.60
196010,-0.70,-0.65
196110,-1.90,-1.85
196210,-1.14,-1.09
196310,-1.30,-1.25
196410,-1.38,-1.33
196510,1.28,1.33
196610,2.27,2.32
196710,-0.61,-0.56
196810,0.57,0.62
196910,0.18,0.23
197010,-0.24,-0.19
197110,-0.68,-0.63
197210,2.78,2.83
197310,2.46,2.51
197410,-1.66,-1.61
197510,-1.75,-1.70
197610,0.96,1.01
197710,-1.72,-1.67
197810,2.15,2.20
197910,3.63,3.68
198010,2.57,2.62
198110,-1.71,-1.66
198210,0.66,0.71
198310,6.87,6.92
198410,2.36,2.41
198510,3.06,3.11
198610,0.79,0.84
198710,0.35,0.40
198810,0.81,0.86
198910,-3.87,-3.82
199010,-1.53,-1.48
199110,-1.17,-1.12
199210,3.62,3.67
199310,3.98,4.03
199410,-2.09,-2.04
199510,0.87,0.92
199610,-3.75,-3.70
199710,-2.57,-2.52
199810,2.97,3.02
199910,0.76,0.81
200010,-2.31,-2.26
200110,-1.81,-1.76
200210,-4.68,-4.63
200310,-4.02,-3.97
200410,-2.34,-2.29
200510,2.66,2.71
200610,-2.32,-2.27
200710,-4.24,-4.19
200810,-1.59,-1.54
200910,-4.30,-4.25
201010,1.14,1.19
201110,-3.11,-3.06
201210,-3.57,-3.52
201310,-2.05,-2.00
201410,-2.23,-2.18
201510,-0.55,-0.50
201610,-2.49,-2.44
201710,-2.37,-2.32
