Arizona, Palmer Hydrological Drought Index (PHDI), December
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189512,1.50,1.65
189612,1.25,1.40
189712,-0.87,-0.72
189812,-1.77,-1.62
189912,-3.10,-2.95
190012,-3.89,-3.74
190112,-3.72,-3.57
190212,-3.53,-3.38
190312,-3.23,-3.08
190412,-3.53,-3.38
190512,6.28,6.43
190612,5.39,5.54
190712,3.45,3.60
190812,2.55,2.70
190912,2.56,2.71
191012,-1.97,-1.82
191112,1.71,1.86
191212,1.03,1.18
191312,-0.20,-0.05
191412,1.90,2.05
191512,3.91,4.06
191612,3.43,3.58
191712,-2.66,-2.51
191812,0.89,1.04
191912,3.76,3.91
192012,2.47,2.62
192112,1.10,1.25
192212,0.60,0.75
192312,2.79,2.94
192412,-1.27,-1.12
192512,0.77,0.92
192612,1.03,1.18
192712,1.85,2.00
192812,-2.02,-1.87
192912,-1.60,-1.45
193012,-0.52,-0.37
193112,3.23,3.38
193212,2.15,2.30
193312,-0.83,-0.68
193412,-3.16,-3.01
193512,1.36,1.51
193612,0.57,0.72
193712,-1.47,-1.32
193812,-1.17,-1.02
193912,-0.86,-0.71
194012,2.87,3.02
194112,6.55,6.70
194212,-1.95,-1.80
194312,-1.96,-1.81
194412,0.62,0.77
194512,-1.10,-0.95
194612,1.18,1.33
194712,-2.02,-1.87
194812,-1.71,-1.56
194912,0.63,0.78
195012,-4.12,-3.97
195112,-0.58,-0.43
195212,2.39,2.54
195312,-2.34,-2.19
195412,-2.36,-2.21
195512,-2.06,-1.91
195612,-4.83,-4.68
195712,0.95,1.10
195812,-1.02,-0.87
195912,1.52,1.67
196012,-1.15,-1.00
196112,-1.19,-1.04
196212,-1.41,-1.26
196312,-1.42,-1.27
196412,-1.19,-1.04
196512,3.66,3.81
196612,1.82,1.97
196712,1.70,1.85
196812,-0.85,-0.70
196912,-0.46,-0.31
197012,-0.88,-0.73
197112,1.69,1.84
197212,3.16,3.31
197312,1.21,1.36
197412,-1.89,-1.74
197512,-1.51,-1.36
197612,-0.90,-0.75
197712,-2.24,-2.09
197812,4.76,4.91
197912,2.37,2.52
198012,0.72,0.87
198112,-2.11,-1.96
198212,2.29,2.44
198312,5.87,6.02
198412,3.40,3.55
198512,3.11,3.26
198612,1.01,1.16
198712,1.12,1.27
198812,-1.16,-1.01
198912,-4.30,-4.15
199012,-1.11,-0.96
199112,0.78,0.93
199212,3.92,4.07
199312,3.22,3.37
199412,-0.63,-0.48
199512,-2.30,-2.15
199612,-3.87,-3.72
199712,-1.84,-1.69
199812,1.83,1.98
199912,-2.32,-2.17
200012,-2.25,-2.10
200112,-2.21,-2.06
200212,-4.21,-4.06
200312,-3.45,-3.30
200412,-0.85,-0.70
200512,0.63,0.78
200612,-3.10,-2.95
200712,-3.13,-2.98
200812,-1.02,-0.87
200912,-4.03,-3.88
201012,0.60,0.75
201112,-2.20,-2.05
201212,-3.38,-3.23
201312,-1.46,-1.31
201412,-2.34,-2.19
201512,-0.40,-0.25
201612,-1.63,-1.48
201712,-3.71,-3.56
