Arizona, Palmer Hydrological Drought Index (PHDI), March
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189503,1.09,1.24
189603,-1.61,-1.46
189703,1.94,2.09
189803,-0.97,-0.82
189903,-2.20,-2.05
190003,-4.61,-4.46
190103,-2.42,-2.27
190203,-3.82,-3.67
190303,-2.83,-2.68
190403,-4.52,-4.37
190503,4.58,4.73
190603,5.58,5.73
190703,4.76,4.91
190803,2.82,2.97
190903,2.47,2.62
191003,0.90,1.05
191103,-0.59,-0.44
191203,-0.88,-0.73
191303,1.16,1.31
191403,-0.44,-0.29
191503,3.20,3.35
191603,4.59,4.74
191703,2.86,3.01
191803,-1.42,-1.27
191903,0.95,1.10
192003,4.80,4.95
192103,-2.32,-2.17
192203,1.38,1.53
192303,-0.98,-0.83
192403,1.63,1.78
192503,-2.17,-2.02
192603,-0.85,-0.70
192703,0.99,1.14
192803,0.66,0.81
192903,-2.09,-1.94
193003,-0.88,-0.73
193103,0.85,1.00
193203,3.25,3.40
193303,1.56,1.71
193403,-2.95,-2.80
193503,-0.89,-0.74
193603,0.90,1.05
193703,1.77,1.92
193803,1.01,1.16
193903,-0.71,-0.56
194003,-1.36,-1.21
194103,4.63,4.78
194203,4.31,4.46
194303,-1.63,-1.48
194403,-0.65,-0.50
194503,0.93,1.08
194603,-1.62,-1.47
194703,-2.04,-1.89
194803,-1.64,-1.49
194903,1.23,1.38
195003,-1.40,-1.25
195103,-3.65,-3.50
195203,2.24,2.39
195303,0.84,0.99
195403,-1.48,-1.33
195503,-2.01,-1.86
195603,-2.83,-2.68
195703,-3.37,-3.22
195803,1.23,1.38
195903,-2.08,-1.93
196003,1.21,1.36
196103,-1.88,-1.73
196203,1.05,1.20
196303,-1.61,-1.46
196403,-1.86,-1.71
196503,0.61,0.76
196603,2.97,3.12
196703,-1.83,-1.68
196803,1.11,1.26
196903,0.37,0.52
197003,-0.73,-0.58
197103,-2.35,-2.20
197203,-2.78,-2.63
197303,4.85,5.00
197403,-2.38,-2.23
197503,-1.57,-1.42
197603,-1.64,-1.49
197703,-1.54,-1.39
197803,2.78,2.93
197903,6.00,6.15
198003,4.41,4.56
198103,-2.09,-1.94
198203,-0.66,-0.51
198303,3.58,3.73
198403,2.65,2.80
198503,3.23,3.38
198603,1.70,1.85
198703,1.00,1.15
198803,-0.69,-0.54
198903,-1.79,-1.64
199003,-3.64,-3.49
199103,1.89,2.04
199203,2.56,2.71
199303,7.00,7.15
199403,1.74,1.89
199503,2.18,2.33
199603,-3.63,-3.48
199703,-3.52,-3.37
199803,2.05,2.20
199903,-2.98,-2.83
200003,-2.97,-2.82
200103,-1.28,-1.13
200203,-3.76,-3.61
200303,-3.18,-3.03
200403,-3.55,-3.40
200503,3.95,4.10
200603,-3.26,-3.11
200703,-3.50,-3.35
200803,-2.09,-1.94
200903,-1.99,-1.84
201003,-1.15,-1.00
201103,-1.80,-1.65
201203,-3.11,-2.96
201303,-3.09,-2.94
201403,-3.40,-3.25
201503,-2.40,-2.25
201603,-2.06,-1.91
201703,-1.31,-1.16
