Arizona, Palmer Hydrological Drought Index (PHDI), April
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189504,1.09,1.22
189604,-1.94,-1.81
189704,1.66,1.79
189804,-1.25,-1.12
189904,-2.58,-2.45
190004,-3.53,-3.40
190104,-2.40,-2.27
190204,-4.38,-4.25
190304,-2.45,-2.32
190404,-5.03,-4.90
190504,5.76,5.89
190604,5.66,5.79
190704,4.69,4.82
190804,2.58,2.71
190904,2.31,2.44
191004,-1.49,-1.36
191104,-0.57,-0.44
191204,1.66,1.79
191304,0.98,1.11
191404,-0.70,-0.57
191504,4.13,4.26
191604,4.42,4.55
191704,3.39,3.52
191804,-1.39,-1.26
191904,1.11,1.24
192004,4.61,4.74
192104,-2.62,-2.49
192204,1.68,1.81
192304,-0.68,-0.55
192404,1.92,2.05
192504,-2.07,-1.94
192604,1.60,1.73
192704,1.21,1.34
192804,-1.23,-1.10
192904,-1.83,-1.70
193004,-0.89,-0.76
193104,1.21,1.34
193204,3.20,3.33
193304,1.63,1.76
193404,-3.42,-3.29
193504,1.60,1.73
193604,-0.86,-0.73
193704,1.66,1.79
193804,0.86,0.99
193904,-0.63,-0.50
194004,-1.56,-1.43
194104,5.81,5.94
194204,4.38,4.51
194304,-1.71,-1.58
194404,1.36,1.49
194504,0.91,1.04
194604,-1.86,-1.73
194704,-2.68,-2.55
194804,-1.68,-1.55
194904,1.18,1.31
195004,-2.12,-1.99
195104,-2.78,-2.65
195204,3.23,3.36
195304,0.78,0.91
195404,-1.81,-1.68
195504,-2.29,-2.16
195604,-3.13,-3.00
195704,-3.12,-2.99
195804,1.75,1.88
195904,-2.77,-2.64
196004,0.85,0.98
196104,-2.23,-2.10
196204,0.65,0.78
196304,-1.49,-1.36
196404,-1.41,-1.28
196504,1.61,1.74
196604,2.75,2.88
196704,-1.98,-1.85
196804,1.32,1.45
196904,0.18,0.31
197004,0.97,1.10
197104,-2.72,-2.59
197204,-3.39,-3.26
197304,4.71,4.84
197404,-2.70,-2.57
197504,-0.76,-0.63
197604,-1.08,-0.95
197704,-1.91,-1.78
197804,2.96,3.09
197904,5.63,5.76
198004,4.45,4.58
198104,-2.10,-1.97
198204,-0.61,-0.48
198304,3.76,3.89
198404,2.06,2.19
198504,3.59,3.72
198604,1.41,1.54
198704,0.79,0.92
198804,0.93,1.06
198904,-2.95,-2.82
199004,-3.58,-3.45
199104,1.66,1.79
199204,2.59,2.72
199304,6.43,6.56
199404,1.51,1.64
199504,2.44,2.57
199604,-4.36,-4.23
199704,-3.35,-3.22
199804,2.35,2.48
199904,-2.37,-2.24
200004,-3.54,-3.41
200104,-0.73,-0.60
200204,-4.54,-4.41
200304,-2.90,-2.77
200404,-3.13,-3.00
200504,4.17,4.30
200604,-3.55,-3.42
200704,-4.07,-3.94
200804,-2.29,-2.16
200904,-2.37,-2.24
201004,-0.85,-0.72
201104,-2.30,-2.17
201204,-3.67,-3.54
201304,-3.46,-3.33
201404,-3.96,-3.83
201504,-2.67,-2.54
201604,-2.24,-2.11
201704,-1.67,-1.54
