Arizona, Palmer Hydrological Drought Index (PHDI), May
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189505,1.89,1.99
189605,-2.37,-2.27
189705,1.53,1.63
189805,-1.32,-1.22
189905,-2.77,-2.67
190005,-3.84,-3.74
190105,-2.20,-2.10
190205,-4.57,-4.47
190305,-2.34,-2.24
190405,-5.12,-5.02
190505,6.54,6.64
190605,6.04,6.14
190705,5.27,5.37
190805,2.29,2.39
190905,2.37,2.47
191005,-1.90,-1.80
191105,-0.57,-0.47
191205,1.57,1.67
191305,0.70,0.80
191405,-0.75,-0.65
191505,5.03,5.13
191605,4.69,4.79
191705,3.82,3.92
191805,-1.56,-1.46
191905,1.51,1.61
192005,5.42,5.52
192105,-2.83,-2.73
192205,1.89,1.99
192305,-1.19,-1.09
192405,1.97,2.07
192505,-2.52,-2.42
192605,1.85,1.95
192705,1.41,1.51
192805,-1.17,-1.07
192905,-2.21,-2.11
193005,-0.61,-0.51
193105,1.36,1.46
193205,3.69,3.79
193305,1.70,1.80
193405,-3.74,-3.64
193505,2.12,2.22
193605,-1.24,-1.14
193705,2.15,2.25
193805,0.76,0.86
193905,-0.75,-0.65
194005,-2.05,-1.95
194105,7.07,7.17
194205,3.66,3.76
194305,-2.18,-2.08
194405,1.78,1.88
194505,0.87,0.97
194605,-2.26,-2.16
194705,-2.88,-2.78
194805,-1.94,-1.84
194905,1.45,1.55
195005,-2.56,-2.46
195105,-3.00,-2.90
195205,3.74,3.84
195305,-1.01,-0.91
195405,-1.93,-1.83
195505,-2.48,-2.38
195605,-3.69,-3.59
195705,-2.45,-2.35
195805,2.01,2.11
195905,-3.26,-3.16
196005,0.93,1.03
196105,-2.85,-2.75
196205,-0.33,-0.23
196305,-2.23,-2.13
196405,-2.02,-1.92
196505,2.20,2.30
196605,3.12,3.22
196705,-2.25,-2.15
196805,1.43,1.53
196905,0.41,0.51
197005,-0.59,-0.49
197105,-2.92,-2.82
197205,-3.74,-3.64
197305,5.94,6.04
197405,-3.23,-3.13
197505,-0.72,-0.62
197605,-1.00,-0.90
197705,-2.10,-2.00
197805,3.79,3.89
197905,6.78,6.88
198005,4.92,5.02
198105,-2.23,-2.13
198205,1.11,1.21
198305,4.61,4.71
198405,0.95,1.05
198505,3.89,3.99
198605,0.80,0.90
198705,0.94,1.04
198805,0.78,0.88
198905,-3.39,-3.29
199005,-3.68,-3.58
199105,1.73,1.83
199205,4.22,4.32
199305,6.98,7.08
199405,1.04,1.14
199505,3.01,3.11
199605,-4.96,-4.86
199705,-3.55,-3.45
199805,2.93,3.03
199905,-2.89,-2.79
200005,-4.35,-4.25
200105,1.56,1.66
200205,-5.05,-4.95
200305,-3.22,-3.12
200405,-3.67,-3.57
200505,5.09,5.19
200605,-4.28,-4.18
200705,-4.48,-4.38
200805,-1.63,-1.53
200905,-2.44,-2.34
201005,2.02,2.12
201105,-2.54,-2.44
201205,-4.24,-4.14
201305,-3.69,-3.59
201405,-4.48,-4.38
201505,-2.15,-2.05
201605,-2.40,-2.30
201705,-1.48,-1.38
