Arizona, Palmer Modified Drought Index (PMDI), January
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189501,1.67,1.78
189601,-0.36,-0.25
189701,2.22,2.33
189801,0.56,0.67
189901,-1.14,-1.03
190001,-3.70,-3.59
190101,-3.55,-3.44
190201,-3.69,-3.58
190301,-3.33,-3.22
190401,-3.54,-3.43
190501,-0.97,-0.86
190601,5.74,5.85
190701,5.89,6.00
190801,1.53,1.64
190901,2.09,2.20
191001,2.13,2.24
191101,-0.26,-0.15
191201,-1.29,-1.18
191301,-0.76,-0.65
191401,0.50,0.61
191501,2.88,2.99
191601,5.74,5.85
191701,3.99,4.10
191801,-1.56,-1.45
191901,0.57,0.68
192001,4.04,4.15
192101,0.30,0.41
192201,1.17,1.28
192301,-1.08,-0.97
192401,1.62,1.73
192501,-1.51,-1.40
192601,-0.80,-0.69
192701,-0.51,-0.40
192801,-0.35,-0.24
192901,-1.98,-1.87
193001,-0.25,-0.14
193101,-0.86,-0.75
193201,3.01,3.12
193301,2.19,2.30
193401,-1.40,-1.29
193501,-1.40,-1.29
193601,-0.39,-0.28
193701,1.03,1.14
193801,-1.72,-1.61
193901,-0.25,-0.14
194001,-1.17,-1.06
194101,3.16,3.27
194201,5.13,5.24
194301,-1.07,-0.96
194401,-1.79,-1.68
194501,0.60,0.71
194601,-0.77,-0.66
194701,-0.60,-0.49
194801,-2.40,-2.29
194901,1.67,1.78
195001,-0.91,-0.80
195101,-3.51,-3.40
195201,1.85,1.96
195301,0.33,0.44
195401,-2.15,-2.04
195501,-0.77,-0.66
195601,-2.23,-2.12
195701,-2.16,-2.05
195801,-1.03,-0.92
195901,-1.70,-1.59
196001,1.90,2.01
196101,-1.29,-1.18
196201,0.86,0.97
196301,-1.53,-1.42
196401,-1.00,-0.89
196501,-0.10,0.01
196601,3.46,3.57
196701,0.10,0.21
196801,1.14,1.25
196901,-0.53,-0.42
197001,-1.06,-0.95
197101,-1.48,-1.37
197201,-0.37,-0.26
197301,2.94,3.05
197401,-1.10,-0.99
197501,-1.70,-1.59
197601,-2.05,-1.94
197701,-0.75,-0.64
197801,0.58,0.69
197901,6.07,6.18
198001,1.66,1.77
198101,-2.55,-2.44
198201,-1.26,-1.15
198301,2.32,2.43
198401,4.24,4.35
198501,3.55,3.66
198601,0.44,0.55
198701,0.84,0.95
198801,1.16,1.27
198901,-0.29,-0.18
199001,-4.06,-3.95
199101,0.57,0.68
199201,0.98,1.09
199301,6.42,6.53
199401,0.47,0.58
199501,2.03,2.14
199601,-2.92,-2.81
199701,-2.59,-2.48
199801,-1.44,-1.33
199901,-1.30,-1.19
200001,-2.97,-2.86
200101,0.73,0.84
200201,-2.69,-2.58
200301,-4.69,-4.58
200401,-3.48,-3.37
200501,2.92,3.03
200601,-2.87,-2.76
200701,-3.03,-2.92
200801,-0.34,-0.23
200901,-0.68,-0.57
201001,-0.16,-0.05
201101,-1.39,-1.28
201201,-2.68,-2.57
201301,-2.32,-2.21
201401,-1.73,-1.62
201501,-0.50,-0.39
201601,0.36,0.47
201701,0.76,0.87
201801,-4.09,-3.98
