Arizona, Palmer Modified Drought Index (PMDI), October
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189510,0.26,0.35
189610,2.37,2.46
189710,0.92,1.01
189810,-2.43,-2.34
189910,-2.61,-2.52
190010,-4.10,-4.01
190110,-3.02,-2.93
190210,-5.31,-5.22
190310,-2.25,-2.16
190410,-2.67,-2.58
190510,4.23,4.32
190610,2.90,2.99
190710,5.32,5.41
190810,1.85,1.94
190910,1.75,1.84
191010,-2.66,-2.57
191110,3.10,3.19
191210,2.26,2.35
191310,-0.94,-0.85
191410,1.04,1.13
191510,2.08,2.17
191610,5.10,5.19
191710,0.25,0.34
191810,-1.17,-1.08
191910,3.54,3.63
192010,4.20,4.29
192110,0.90,0.99
192210,-0.43,-0.34
192310,0.57,0.66
192410,-1.53,-1.44
192510,1.53,1.62
192610,-0.26,-0.17
192710,2.14,2.23
192810,-1.84,-1.75
192910,-0.11,-0.02
193010,-0.46,-0.37
193110,1.54,1.63
193210,2.04,2.13
193310,0.64,0.73
193410,-4.07,-3.98
193510,0.72,0.81
193610,-0.22,-0.13
193710,-0.39,-0.30
193810,-1.47,-1.38
193910,0.41,0.50
194010,1.43,1.52
194110,7.58,7.67
194210,-1.08,-0.99
194310,-1.05,-0.96
194410,-1.19,-1.10
194510,-0.72,-0.63
194610,1.13,1.22
194710,-2.27,-2.18
194810,-1.67,-1.58
194910,1.02,1.11
195010,-3.12,-3.03
195110,0.21,0.30
195210,0.19,0.28
195310,-1.73,-1.64
195410,-1.09,-1.00
195510,-1.54,-1.45
195610,-4.62,-4.53
195710,1.48,1.57
195810,1.73,1.82
195910,-0.37,-0.28
196010,0.60,0.69
196110,-0.97,-0.88
196210,-0.40,-0.31
196310,0.39,0.48
196410,-0.69,-0.60
196510,0.15,0.24
196610,1.93,2.02
196710,-0.61,-0.52
196810,-0.97,-0.88
196910,0.18,0.27
197010,0.39,0.48
197110,1.96,2.05
197210,2.78,2.87
197310,-0.15,-0.06
197410,-0.23,-0.14
197510,-1.75,-1.66
197610,0.90,0.99
197710,-1.37,-1.28
197810,0.88,0.97
197910,1.79,1.88
198010,1.07,1.16
198110,-1.31,-1.22
198210,-0.33,-0.24
198310,6.87,6.96
198410,2.36,2.45
198510,3.06,3.15
198610,0.79,0.88
198710,0.35,0.44
198810,-0.29,-0.20
198910,-3.80,-3.71
199010,0.08,0.17
199110,-1.17,-1.08
199210,2.75,2.84
199310,2.96,3.05
199410,-1.78,-1.69
199510,-1.11,-1.02
199610,-3.10,-3.01
199710,-1.78,-1.69
199810,2.88,2.97
199910,-0.60,-0.51
200010,0.21,0.30
200110,-1.81,-1.72
200210,-4.19,-4.10
200310,-4.02,-3.93
200410,-0.85,-0.76
200510,1.38,1.47
200610,-1.22,-1.13
200710,-4.24,-4.15
200810,-0.78,-0.69
200910,-4.30,-4.21
201010,0.19,0.28
201110,-3.11,-3.02
201210,-3.57,-3.48
201310,-0.97,-0.88
201410,-0.63,-0.54
201510,0.84,0.93
201610,-2.49,-2.40
201710,-2.37,-2.28
