Arizona, Palmer Modified Drought Index (PMDI), December
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189512,0.95,1.14
189612,0.24,0.43
189712,-0.87,-0.68
189812,-1.19,-1.00
189912,-3.10,-2.91
190012,-3.89,-3.70
190112,-3.72,-3.53
190212,-2.54,-2.35
190312,-3.23,-3.04
190412,-3.53,-3.34
190512,6.28,6.47
190612,5.39,5.58
190712,2.40,2.59
190812,2.55,2.74
190912,2.05,2.24
191012,-1.55,-1.36
191112,0.60,0.79
191212,-0.18,0.01
191312,0.56,0.75
191412,1.90,2.09
191512,2.95,3.14
191612,2.52,2.71
191712,-2.66,-2.47
191812,0.89,1.08
191912,3.39,3.58
192012,1.13,1.32
192112,0.12,0.31
192212,-0.69,-0.50
192312,2.79,2.98
192412,-0.54,-0.35
192512,-0.12,0.07
192612,1.03,1.22
192712,1.19,1.38
192812,-2.02,-1.83
192912,-1.60,-1.41
193012,-0.52,-0.33
193112,3.23,3.42
193212,1.12,1.31
193312,-0.83,-0.64
193412,-2.91,-2.72
193512,0.39,0.58
193612,0.57,0.76
193712,-1.47,-1.28
193812,-0.56,-0.37
193912,-0.86,-0.67
194012,2.87,3.06
194112,6.55,6.74
194212,-1.95,-1.76
194312,-1.66,-1.47
194412,0.62,0.81
194512,-0.99,-0.80
194612,0.75,0.94
194712,-1.33,-1.14
194812,-1.26,-1.07
194912,-0.53,-0.34
195012,-4.12,-3.93
195112,1.48,1.67
195212,1.90,2.09
195312,-2.34,-2.15
195412,-2.36,-2.17
195512,-2.06,-1.87
195612,-4.83,-4.64
195712,0.14,0.33
195812,-1.02,-0.83
195912,1.52,1.71
196012,-0.69,-0.50
196112,0.12,0.31
196212,-1.22,-1.03
196312,-0.19,0.00
196412,-0.54,-0.35
196512,3.66,3.85
196612,1.34,1.53
196712,1.70,1.89
196812,-0.85,-0.66
196912,-0.46,-0.27
197012,-0.88,-0.69
197112,1.69,1.88
197212,3.16,3.35
197312,-1.88,-1.69
197412,-1.13,-0.94
197512,-1.48,-1.29
197612,-0.90,-0.71
197712,-2.24,-2.05
197812,4.76,4.95
197912,0.06,0.25
198012,-2.03,-1.84
198112,-2.11,-1.92
198212,2.29,2.48
198312,5.87,6.06
198412,3.40,3.59
198512,2.56,2.75
198612,1.01,1.20
198712,1.12,1.31
198812,-1.16,-0.97
198912,-4.30,-4.11
199012,0.48,0.67
199112,0.78,0.97
199212,3.92,4.11
199312,2.19,2.38
199412,1.07,1.26
199512,-2.30,-2.11
199612,-3.87,-3.68
199712,-0.78,-0.59
199812,0.96,1.15
199912,-2.32,-2.13
200012,-0.31,-0.12
200112,-2.21,-2.02
200212,-4.11,-3.92
200312,-3.45,-3.26
200412,1.69,1.88
200512,-2.11,-1.92
200612,-3.10,-2.91
200712,-2.24,-2.05
200812,0.04,0.23
200912,-3.91,-3.72
201012,-0.67,-0.48
201112,-1.70,-1.51
201212,-3.17,-2.98
201312,-0.16,0.03
201412,-1.35,-1.16
201512,-0.40,-0.21
201612,-0.95,-0.76
201712,-3.71,-3.52
