Arizona, Palmer Modified Drought Index (PMDI), February
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189502,1.61,1.67
189602,-1.33,-1.27
189702,2.12,2.18
189802,-0.88,-0.82
189902,-1.71,-1.65
190002,-4.15,-4.09
190102,-1.44,-1.38
190202,-3.95,-3.89
190302,-2.60,-2.54
190402,-3.98,-3.92
190502,3.24,3.30
190602,5.36,5.42
190702,5.07,5.13
190802,2.99,3.05
190902,2.34,2.40
191002,0.73,0.79
191102,1.06,1.12
191202,-2.12,-2.06
191302,1.25,1.31
191402,0.54,0.60
191502,3.53,3.59
191602,4.75,4.81
191702,3.56,3.62
191802,-1.46,-1.40
191902,0.97,1.03
192002,4.80,4.86
192102,-1.18,-1.12
192202,0.60,0.66
192302,-1.10,-1.04
192402,-0.06,0.00
192502,-2.10,-2.04
192602,-1.22,-1.16
192702,0.88,0.94
192802,0.44,0.50
192902,-1.93,-1.87
193002,-1.51,-1.45
193102,1.39,1.45
193202,3.93,3.99
193302,1.98,2.04
193402,-1.88,-1.82
193502,0.34,0.40
193602,0.29,0.35
193702,1.31,1.37
193802,-0.78,-0.72
193902,0.57,0.63
194002,-0.12,-0.06
194102,3.67,3.73
194202,4.68,4.74
194302,-1.85,-1.79
194402,0.33,0.39
194502,-0.32,-0.26
194602,-1.39,-1.33
194702,-1.36,-1.30
194802,-1.56,-1.50
194902,1.55,1.61
195002,-1.09,-1.03
195102,-3.72,-3.66
195202,0.83,0.89
195302,-0.36,-0.30
195402,-2.57,-2.51
195502,-1.07,-1.01
195602,-2.29,-2.23
195702,-2.90,-2.84
195802,-0.05,0.01
195902,-1.38,-1.32
196002,1.82,1.88
196102,-2.00,-1.94
196202,1.12,1.18
196302,-1.55,-1.49
196402,-1.74,-1.68
196502,0.37,0.43
196602,3.70,3.76
196702,-1.33,-1.27
196802,0.66,0.72
196902,0.37,0.43
197002,-1.68,-1.62
197102,-1.71,-1.65
197202,-1.54,-1.48
197302,3.55,3.61
197402,-2.11,-2.05
197502,-1.94,-1.88
197602,-1.09,-1.03
197702,-1.38,-1.32
197802,1.89,1.95
197902,5.72,5.78
198002,4.31,4.37
198102,-2.82,-2.76
198202,-0.76,-0.70
198302,2.51,2.57
198402,2.28,2.34
198502,3.42,3.48
198602,0.21,0.27
198702,1.17,1.23
198802,0.54,0.60
198902,-1.30,-1.24
199002,-3.64,-3.58
199102,0.08,0.14
199202,1.46,1.52
199302,7.62,7.68
199402,0.41,0.47
199502,2.05,2.11
199602,-3.13,-3.07
199702,-2.51,-2.45
199802,1.54,1.60
199902,-2.16,-2.10
200002,-3.41,-3.35
200102,0.85,0.91
200202,-3.27,-3.21
200302,-2.67,-2.61
200402,-3.07,-3.01
200502,4.34,4.40
200602,-3.64,-3.58
200702,-3.24,-3.18
200802,0.30,0.36
200902,-0.70,-0.64
201002,0.94,1.00
201102,-1.17,-1.11
201202,-2.94,-2.88
201302,-2.54,-2.48
201402,-3.06,-3.00
201502,-1.44,-1.38
201602,-1.06,-1.00
201702,0.90,0.96
201802,-3.99,-3.93
