Arizona, Palmer Modified Drought Index (PMDI), April
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189504,0.59,0.68
189604,-1.94,-1.85
189704,1.45,1.54
189804,-1.25,-1.16
189904,-2.58,-2.49
190004,-2.80,-2.71
190104,-1.90,-1.81
190204,-4.38,-4.29
190304,-1.62,-1.53
190404,-5.03,-4.94
190504,5.76,5.85
190604,5.66,5.75
190704,4.69,4.78
190804,1.86,1.95
190904,2.31,2.40
191004,-1.49,-1.40
191104,0.80,0.89
191204,1.66,1.75
191304,0.18,0.27
191404,-0.70,-0.61
191504,4.13,4.22
191604,4.42,4.51
191704,3.39,3.48
191804,-0.65,-0.56
191904,1.11,1.20
192004,4.61,4.70
192104,-2.62,-2.53
192204,1.68,1.77
192304,-0.06,0.03
192404,1.61,1.70
192504,-2.07,-1.98
192604,1.60,1.69
192704,1.21,1.30
192804,-1.23,-1.14
192904,-1.69,-1.60
193004,-0.18,-0.09
193104,1.12,1.21
193204,3.08,3.17
193304,0.80,0.89
193404,-3.42,-3.33
193504,1.60,1.69
193604,-0.86,-0.77
193704,1.66,1.75
193804,0.64,0.73
193904,0.26,0.35
194004,-1.56,-1.47
194104,5.81,5.90
194204,4.22,4.31
194304,-1.71,-1.62
194404,1.36,1.45
194504,0.91,1.00
194604,-1.86,-1.77
194704,-2.68,-2.59
194804,-1.29,-1.20
194904,0.90,0.99
195004,-2.12,-2.03
195104,-2.14,-2.05
195204,3.23,3.32
195304,-0.61,-0.52
195404,-1.28,-1.19
195504,-2.29,-2.20
195604,-3.13,-3.04
195704,-2.72,-2.63
195804,1.75,1.84
195904,-2.77,-2.68
196004,-0.20,-0.11
196104,-2.23,-2.14
196204,-0.09,0.00
196304,-1.47,-1.38
196404,-0.56,-0.47
196504,1.61,1.70
196604,2.32,2.41
196704,-1.98,-1.89
196804,1.27,1.36
196904,-0.37,-0.28
197004,0.97,1.06
197104,-2.72,-2.63
197204,-3.39,-3.30
197304,4.71,4.80
197404,-2.70,-2.61
197504,0.69,0.78
197604,-0.31,-0.22
197704,-1.91,-1.82
197804,2.96,3.05
197904,5.63,5.72
198004,4.45,4.54
198104,-1.72,-1.63
198204,0.69,0.78
198304,3.76,3.85
198404,-0.22,-0.13
198504,3.59,3.68
198604,-0.04,0.05
198704,0.32,0.41
198804,0.93,1.02
198904,-2.95,-2.86
199004,-3.58,-3.49
199104,1.53,1.62
199204,2.59,2.68
199304,6.43,6.52
199404,-0.12,-0.03
199504,2.44,2.53
199604,-4.36,-4.27
199704,-3.35,-3.26
199804,2.35,2.44
199904,-1.93,-1.84
200004,-3.54,-3.45
200104,1.49,1.58
200204,-4.54,-4.45
200304,-2.08,-1.99
200404,-2.99,-2.90
200504,4.17,4.26
200604,-3.55,-3.46
200704,-4.07,-3.98
200804,-1.45,-1.36
200904,-2.37,-2.28
201004,1.52,1.61
201104,-2.30,-2.21
201204,-3.67,-3.58
201304,-3.46,-3.37
201404,-3.96,-3.87
201504,-2.67,-2.58
201604,-2.24,-2.15
201704,-1.38,-1.29
