Arizona, Palmer Modified Drought Index (PMDI), May
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189505,1.89,2.00
189605,-2.37,-2.26
189705,1.33,1.44
189805,-1.32,-1.21
189905,-2.77,-2.66
190005,-3.81,-3.70
190105,-1.72,-1.61
190205,-4.57,-4.46
190305,-1.62,-1.51
190405,-5.12,-5.01
190505,6.54,6.65
190605,6.04,6.15
190705,5.27,5.38
190805,1.51,1.62
190905,2.37,2.48
191005,-1.90,-1.79
191105,0.67,0.78
191205,1.57,1.68
191305,-0.31,-0.20
191405,-0.75,-0.64
191505,5.03,5.14
191605,4.69,4.80
191705,3.82,3.93
191805,-1.13,-1.02
191905,1.51,1.62
192005,5.42,5.53
192105,-2.83,-2.72
192205,1.89,2.00
192305,-1.19,-1.08
192405,1.88,1.99
192505,-2.52,-2.41
192605,1.85,1.96
192705,1.41,1.52
192805,-1.17,-1.06
192905,-2.21,-2.10
193005,0.39,0.50
193105,1.36,1.47
193205,3.69,3.80
193305,1.07,1.18
193405,-3.74,-3.63
193505,2.12,2.23
193605,-1.24,-1.13
193705,2.15,2.26
193805,0.41,0.52
193905,-0.06,0.05
194005,-2.05,-1.94
194105,7.07,7.18
194205,3.13,3.24
194305,-2.18,-2.07
194405,1.78,1.89
194505,0.87,0.98
194605,-2.26,-2.15
194705,-2.88,-2.77
194805,-1.94,-1.83
194905,1.45,1.56
195005,-2.56,-2.45
195105,-2.91,-2.80
195205,3.74,3.85
195305,-1.01,-0.90
195405,-1.69,-1.58
195505,-2.48,-2.37
195605,-3.69,-3.58
195705,-1.65,-1.54
195805,2.01,2.12
195905,-3.26,-3.15
196005,0.11,0.22
196105,-2.85,-2.74
196205,-0.33,-0.22
196305,-2.23,-2.12
196405,-1.85,-1.74
196505,2.20,2.31
196605,3.12,3.23
196705,-2.25,-2.14
196805,1.43,1.54
196905,0.41,0.52
197005,-0.59,-0.48
197105,-2.92,-2.81
197205,-3.74,-3.63
197305,5.94,6.05
197405,-3.23,-3.12
197505,0.63,0.74
197605,-0.25,-0.14
197705,-2.10,-1.99
197805,3.79,3.90
197905,6.78,6.89
198005,4.92,5.03
198105,-2.22,-2.11
198205,1.11,1.22
198305,4.61,4.72
198405,-2.08,-1.97
198505,3.89,4.00
198605,-1.03,-0.92
198705,0.79,0.90
198805,0.78,0.89
198905,-3.39,-3.28
199005,-3.68,-3.57
199105,1.73,1.84
199205,4.22,4.33
199305,6.98,7.09
199405,-0.75,-0.64
199505,3.01,3.12
199605,-4.96,-4.85
199705,-3.55,-3.44
199805,2.93,3.04
199905,-2.89,-2.78
200005,-4.35,-4.24
200105,1.56,1.67
200205,-5.05,-4.94
200305,-3.00,-2.89
200405,-3.67,-3.56
200505,5.09,5.20
200605,-4.28,-4.17
200705,-4.48,-4.37
200805,-0.38,-0.27
200905,-2.44,-2.33
201005,2.02,2.13
201105,-2.54,-2.43
201205,-4.24,-4.13
201305,-3.69,-3.58
201405,-4.48,-4.37
201505,-1.77,-1.66
201605,-2.40,-2.29
201705,-1.12,-1.01
