Arizona, Palmer Modified Drought Index (PMDI), June
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189506,2.26,2.41
189606,-2.84,-2.69
189706,0.63,0.78
189806,-1.08,-0.93
189906,-2.43,-2.28
190006,-4.36,-4.21
190106,-2.11,-1.96
190206,-5.04,-4.89
190306,-0.89,-0.74
190406,-5.45,-5.30
190506,8.19,8.34
190606,6.27,6.42
190706,5.77,5.92
190806,0.87,1.02
190906,2.57,2.72
191006,-2.02,-1.87
191106,1.02,1.17
191206,1.33,1.48
191306,-0.56,-0.41
191406,-0.49,-0.34
191506,6.54,6.69
191606,4.85,5.00
191706,3.81,3.96
191806,-0.67,-0.52
191906,1.52,1.67
192006,6.31,6.46
192106,-3.17,-3.02
192206,2.19,2.34
192306,-1.70,-1.55
192406,1.75,1.90
192506,-2.15,-2.00
192606,0.10,0.25
192706,2.11,2.26
192806,-1.55,-1.40
192906,-2.66,-2.51
193006,0.12,0.27
193106,1.67,1.82
193206,4.22,4.37
193306,2.02,2.17
193406,-3.99,-3.84
193506,2.55,2.70
193606,-1.62,-1.47
193706,2.54,2.69
193806,1.09,1.24
193906,-0.55,-0.40
194006,-2.19,-2.04
194106,8.30,8.45
194206,2.03,2.18
194306,-2.39,-2.24
194406,1.82,1.97
194506,0.78,0.93
194606,-2.75,-2.60
194706,-3.28,-3.13
194806,-1.96,-1.81
194906,2.12,2.27
195006,-2.78,-2.63
195106,-3.50,-3.35
195206,4.41,4.56
195306,-1.20,-1.05
195406,-1.77,-1.62
195506,-1.95,-1.80
195606,-4.06,-3.91
195706,-1.15,-1.00
195806,1.99,2.14
195906,-3.66,-3.51
196006,0.14,0.29
196106,-3.46,-3.31
196206,-0.18,-0.03
196306,-2.72,-2.57
196406,-2.50,-2.35
196506,2.47,2.62
196606,3.28,3.43
196706,-2.27,-2.12
196806,1.58,1.73
196906,-0.25,-0.10
197006,-1.07,-0.92
197106,-3.49,-3.34
197206,-3.22,-3.07
197306,7.01,7.16
197406,-3.83,-3.68
197506,-0.41,-0.26
197606,-1.38,-1.23
197706,-2.52,-2.37
197806,4.52,4.67
197906,7.79,7.94
198006,5.61,5.76
198106,-2.59,-2.44
198206,0.57,0.72
198306,5.42,5.57
198406,-2.60,-2.45
198506,3.93,4.08
198606,-1.50,-1.35
198706,0.78,0.93
198806,0.96,1.11
198906,-3.92,-3.77
199006,-3.99,-3.84
199106,2.00,2.15
199206,4.91,5.06
199306,7.01,7.16
199406,-1.73,-1.58
199506,3.59,3.74
199606,-5.28,-5.13
199706,-3.68,-3.53
199806,3.43,3.58
199906,-3.19,-3.04
200006,-4.31,-4.16
200106,0.78,0.93
200206,-5.61,-5.46
200306,-3.58,-3.43
200406,-4.07,-3.92
200506,5.43,5.58
200606,-4.65,-4.50
200706,-4.94,-4.79
200806,0.06,0.21
200906,-2.58,-2.43
201006,2.32,2.47
201106,-3.09,-2.94
201206,-4.75,-4.60
201306,-4.07,-3.92
201406,-5.06,-4.91
201506,-1.24,-1.09
201606,-2.77,-2.62
201706,-1.67,-1.52
