Arizona, Palmer Modified Drought Index (PMDI), September
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189509,0.33,0.35
189609,0.59,0.61
189709,0.96,0.98
189809,-1.90,-1.88
189909,-2.78,-2.76
190009,-4.28,-4.26
190109,-3.18,-3.16
190209,-5.06,-5.04
190309,-1.12,-1.10
190409,-2.38,-2.36
190509,6.06,6.08
190609,4.79,4.81
190709,4.10,4.12
190809,2.19,2.21
190909,3.79,3.81
191009,-2.53,-2.51
191109,2.47,2.49
191209,0.36,0.38
191309,-0.66,-0.64
191409,-0.76,-0.74
191509,4.08,4.10
191609,4.61,4.63
191709,2.26,2.28
191809,-0.82,-0.80
191909,3.76,3.78
192009,3.52,3.54
192109,1.11,1.13
192209,0.93,0.95
192309,1.50,1.52
192409,-1.41,-1.39
192509,-0.17,-0.15
192609,0.69,0.71
192709,3.01,3.03
192809,-2.54,-2.52
192909,1.39,1.41
193009,0.64,0.66
193109,2.32,2.34
193209,1.98,2.00
193309,0.52,0.54
193409,-3.65,-3.63
193509,2.65,2.67
193609,-0.33,-0.31
193709,1.07,1.09
193809,-0.94,-0.92
193909,1.52,1.54
194009,0.41,0.43
194109,7.62,7.64
194209,-1.10,-1.08
194309,-0.94,-0.92
194409,-0.62,-0.60
194509,-0.86,-0.84
194609,0.95,0.97
194709,-3.08,-3.06
194809,-2.44,-2.42
194909,0.74,0.76
195009,-2.38,-2.36
195109,-0.74,-0.72
195209,2.59,2.61
195309,-1.29,-1.27
195409,-0.04,-0.02
195509,-0.31,-0.29
195609,-4.77,-4.75
195709,-1.51,-1.49
195809,2.05,2.07
195909,-2.63,-2.61
196009,-1.69,-1.67
196109,-1.36,-1.34
196209,-0.24,-0.22
196309,0.33,0.35
196409,0.62,0.64
196509,1.62,1.64
196609,2.78,2.80
196709,1.15,1.17
196809,-0.36,-0.34
196909,-0.24,-0.22
197009,0.70,0.72
197109,-0.06,-0.04
197209,-3.44,-3.42
197309,1.73,1.75
197409,-3.09,-3.07
197509,-0.79,-0.77
197609,1.05,1.07
197709,-1.93,-1.91
197809,0.32,0.34
197909,3.13,3.15
198009,2.20,2.22
198109,-2.11,-2.09
198209,1.31,1.33
198309,6.86,6.88
198409,2.27,2.29
198509,2.51,2.53
198609,0.45,0.47
198709,-0.64,-0.62
198809,0.36,0.38
198909,-4.33,-4.31
199009,0.87,0.89
199109,-0.81,-0.79
199209,3.47,3.49
199309,2.87,2.89
199409,-2.22,-2.20
199509,0.68,0.70
199609,-3.28,-3.26
199709,-1.78,-1.76
199809,2.58,2.60
199909,1.85,1.87
200009,-5.01,-4.99
200109,-1.39,-1.37
200209,-4.47,-4.45
200309,-3.70,-3.68
200409,-3.18,-3.16
200509,1.86,1.88
200609,-2.07,-2.05
200709,-3.95,-3.93
200809,-0.02,0.00
200909,-4.17,-4.15
201009,-0.37,-0.35
201109,-3.12,-3.10
201209,-2.73,-2.71
201309,-0.10,-0.08
201409,0.12,0.14
201509,-0.65,-0.63
201609,-1.30,-1.28
201709,-1.63,-1.61
