Arizona, Palmer Z-Index, January
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189501,5.02,4.93
189601,-1.41,-1.50
189701,3.32,3.23
189801,1.67,1.58
189901,-0.24,-0.33
190001,-2.77,-2.86
190101,-0.19,-0.28
190201,-1.07,-1.16
190301,-1.71,-1.80
190401,-1.93,-2.02
190501,2.94,2.85
190601,0.33,0.24
190701,3.18,3.09
190801,-0.70,-0.79
190901,-0.18,-0.27
191001,0.57,0.48
191101,1.42,1.33
191201,-2.40,-2.49
191301,-0.68,-0.77
191401,0.00,-0.09
191501,3.51,3.42
191601,6.71,6.62
191701,2.73,2.64
191801,1.01,0.92
191901,-0.70,-0.79
192001,1.99,1.90
192101,-0.85,-0.94
192201,1.73,1.64
192301,-1.24,-1.33
192401,-1.09,-1.18
192501,-1.46,-1.55
192601,-1.14,-1.23
192701,-1.54,-1.63
192801,-1.86,-1.95
192901,-0.52,-0.61
193001,1.32,1.23
193101,-1.20,-1.29
193201,0.36,0.27
193301,2.03,1.94
193401,-1.96,-2.05
193501,1.57,1.48
193601,-0.89,-0.98
193701,1.56,1.47
193801,-1.20,-1.29
193901,0.17,0.08
194001,-1.20,-1.29
194101,1.78,1.69
194201,-0.99,-1.08
194301,0.75,0.66
194401,-0.53,-0.62
194501,0.15,0.06
194601,0.02,-0.07
194701,-1.39,-1.48
194801,-1.91,-2.00
194901,4.24,4.15
195001,-1.07,-1.16
195101,0.18,0.09
195201,1.49,1.40
195301,-1.90,-1.99
195401,-0.16,-0.25
195501,1.67,1.58
195601,-1.13,-1.22
195701,2.98,2.89
195801,-1.82,-1.91
195901,-2.36,-2.45
196001,1.61,1.52
196101,-1.05,-1.14
196201,1.00,0.91
196301,-0.79,-0.88
196401,-1.49,-1.58
196501,0.45,0.36
196601,0.53,0.44
196701,-1.38,-1.47
196801,-0.37,-0.46
196901,0.69,0.60
197001,-1.94,-2.03
197101,-2.08,-2.17
197201,-2.17,-2.26
197301,0.29,0.20
197401,1.11,1.02
197501,-1.17,-1.26
197601,-2.09,-2.18
197701,0.17,0.08
197801,3.25,3.16
197901,5.38,5.29
198001,2.78,2.69
198101,-1.75,-1.84
198201,0.71,0.62
198301,0.82,0.73
198401,-1.38,-1.47
198501,1.52,1.43
198601,-2.44,-2.53
198701,0.04,-0.05
198801,0.45,0.36
198901,0.67,0.58
199001,-0.61,-0.70
199101,0.11,0.02
199201,0.83,0.74
199301,8.70,8.61
199401,-2.08,-2.17
199501,2.97,2.88
199601,-2.59,-2.68
199701,1.15,1.06
199801,-1.26,-1.35
199901,-2.86,-2.95
200001,-2.65,-2.74
200101,1.36,1.27
200201,-2.12,-2.21
200301,-2.73,-2.82
200401,-1.13,-1.22
200501,3.41,3.32
200601,-2.72,-2.81
200701,-0.77,-0.86
200801,2.18,2.09
200901,-1.53,-1.62
201001,4.60,4.51
201101,-2.21,-2.30
201201,-2.11,-2.20
201301,0.62,0.53
201401,-2.84,-2.93
201501,0.95,0.86
201601,0.34,0.25
201701,1.98,1.89
201801,-2.28,-2.37
