Arizona, Palmer Z-Index, October
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189510,0.09,0.23
189610,4.22,4.36
189710,0.17,0.31
189810,-2.19,-2.05
189910,-0.37,-0.23
190010,-0.49,-0.35
190110,-0.48,-0.34
190210,-2.30,-2.16
190310,-1.87,-1.73
190410,-0.97,-0.83
190510,-1.65,-1.51
190610,-1.86,-1.72
190710,3.41,3.55
190810,-0.05,0.09
190910,-2.20,-2.06
191010,-1.18,-1.04
191110,2.65,2.79
191210,3.19,3.33
191310,-1.05,-0.91
191410,3.12,3.26
191510,-2.10,-1.96
191610,2.89,3.03
191710,-2.37,-2.23
191810,-0.81,-0.67
191910,0.52,0.66
192010,1.67,1.81
192110,0.02,0.16
192210,-1.48,-1.34
192310,-0.81,-0.67
192410,-0.80,-0.66
192510,2.93,3.07
192610,-1.19,-1.05
192710,-0.67,-0.53
192810,0.49,0.63
192910,-1.43,-1.29
193010,-1.01,-0.87
193110,-0.61,-0.47
193210,0.56,0.70
193310,0.38,0.52
193410,-2.28,-2.14
193510,-2.11,-1.97
193610,-0.03,0.11
193710,-1.68,-1.54
193810,-1.90,-1.76
193910,-1.02,-0.88
194010,1.31,1.45
194110,2.22,2.36
194210,-0.02,0.12
194310,-0.45,-0.31
194410,-1.10,-0.96
194510,0.15,0.29
194610,0.28,0.42
194710,0.59,0.73
194810,0.59,0.73
194910,0.61,0.75
195010,-2.96,-2.82
195110,1.09,1.23
195210,-2.87,-2.73
195310,-1.71,-1.57
195410,-1.69,-1.55
195510,-2.06,-1.92
195610,-1.01,-0.87
195710,4.44,4.58
195810,-0.05,0.09
195910,2.68,2.82
196010,2.46,2.60
196110,0.19,0.33
196210,-0.38,-0.24
196310,-0.03,0.11
196410,-1.88,-1.74
196510,-1.65,-1.51
196610,-0.67,-0.53
196710,-1.83,-1.69
196810,-0.71,-0.57
196910,0.27,0.41
197010,-0.71,-0.57
197110,2.76,2.90
197210,8.33,8.47
197310,-2.26,-2.12
197410,3.35,3.49
197510,-1.68,-1.54
197610,0.06,0.20
197710,0.36,0.50
197810,1.07,1.21
197910,-1.26,-1.12
198010,-1.12,-0.98
198110,0.66,0.80
198210,-1.54,-1.40
198310,2.16,2.30
198410,0.96,1.10
198510,1.50,1.64
198610,1.04,1.18
198710,1.04,1.18
198810,-0.63,-0.49
198910,0.04,0.18
199010,-1.21,-1.07
199110,-1.21,-1.07
199210,-0.35,-0.21
199310,0.80,0.94
199410,0.18,0.32
199510,-2.33,-2.19
199610,-0.39,-0.25
199710,-0.44,-0.30
199810,0.93,1.07
199910,-2.69,-2.55
200010,6.57,6.71
200110,-1.69,-1.55
200210,-0.42,-0.28
200310,-2.11,-1.97
200410,2.67,2.81
200510,-0.22,-0.08
200610,0.74,0.88
200710,-2.08,-1.94
200810,-1.82,-1.68
200910,-1.70,-1.56
201010,0.85,0.99
201110,-0.85,-0.71
201210,-2.02,-1.88
201310,-1.48,-1.34
201410,-1.30,-1.16
201510,1.91,2.05
201610,-2.09,-1.95
201710,-2.71,-2.57
