Arizona, Palmer Z-Index, December
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189512,-1.06,-0.98
189612,-1.42,-1.34
189712,-0.96,-0.88
189812,1.18,1.26
189912,-2.18,-2.10
190012,-2.25,-2.17
190112,-2.23,-2.15
190212,0.57,0.65
190312,-2.13,-2.05
190412,-0.77,-0.69
190512,0.90,0.98
190612,4.35,4.43
190712,-2.27,-2.19
190812,3.58,3.66
190912,1.24,1.32
191012,-1.43,-1.35
191112,-0.91,-0.83
191212,-0.86,-0.78
191312,-0.10,-0.02
191412,3.81,3.89
191512,2.34,2.42
191612,-0.54,-0.46
191712,-2.78,-2.70
191812,1.51,1.59
191912,-0.81,-0.73
192012,-1.71,-1.63
192112,0.82,0.90
192212,-1.38,-1.30
192312,3.13,3.21
192412,1.39,1.47
192512,-1.26,-1.18
192612,3.09,3.17
192712,0.89,0.97
192812,-0.73,-0.65
192912,-2.51,-2.43
193012,-1.55,-1.47
193112,1.46,1.54
193212,1.59,1.67
193312,-2.00,-1.92
193412,0.38,0.46
193512,-0.63,-0.55
193612,1.50,1.58
193712,-0.66,-0.58
193812,1.09,1.17
193912,-2.15,-2.07
194012,3.90,3.98
194112,1.23,1.31
194212,-0.64,-0.56
194312,0.24,0.32
194412,-0.14,-0.06
194512,0.02,0.10
194612,-0.68,-0.60
194712,0.13,0.21
194812,0.87,0.95
194912,0.00,0.08
195012,-2.89,-2.81
195112,1.35,1.43
195212,0.09,0.17
195312,-1.66,-1.58
195412,-1.76,-1.68
195512,-1.75,-1.67
195612,-1.99,-1.91
195712,-1.43,-1.35
195812,-2.75,-2.67
195912,2.72,2.80
196012,-0.90,-0.82
196112,1.13,1.21
196212,-0.74,-0.66
196312,-1.87,-1.79
196412,-0.51,-0.43
196512,6.40,6.48
196612,0.44,0.52
196712,5.09,5.17
196812,-0.04,0.04
196912,-1.39,-1.31
197012,-1.02,-0.94
197112,0.68,0.76
197212,1.16,1.24
197312,-2.36,-2.28
197412,-1.02,-0.94
197512,-0.72,-0.64
197612,-1.62,-1.54
197712,-1.21,-1.13
197812,4.40,4.48
197912,-1.25,-1.17
198012,-2.30,-2.22
198112,-2.58,-2.50
198212,2.75,2.83
198312,0.37,0.45
198412,4.28,4.36
198512,-1.26,-1.18
198612,0.49,0.57
198712,0.85,0.93
198812,-1.54,-1.46
198912,-1.69,-1.61
199012,0.58,0.66
199112,1.56,1.64
199212,4.09,4.17
199312,-1.56,-1.48
199412,1.76,1.84
199512,-2.09,-2.01
199612,-2.23,-2.15
199712,1.41,1.49
199812,-1.69,-1.61
199912,-2.30,-2.22
200012,-1.92,-1.84
200112,-0.65,-0.57
200212,-0.64,-0.56
200312,-1.32,-1.24
200412,1.03,1.11
200512,-2.48,-2.40
200612,-1.65,-1.57
200712,2.15,2.23
200812,1.19,1.27
200912,0.18,0.26
201012,0.31,0.39
201112,0.78,0.86
201212,0.37,0.45
201312,-1.24,-1.16
201412,0.20,0.28
201512,-1.13,-1.05
201612,1.41,1.49
201712,-2.60,-2.52
