Arizona, Palmer Z-Index, February
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189502,0.33,0.33
189602,-1.86,-1.86
189702,0.38,0.38
189802,-2.04,-2.04
189902,-1.06,-1.06
190002,-2.48,-2.48
190102,2.31,2.31
190202,-1.92,-1.92
190302,0.43,0.43
190402,-2.44,-2.44
190502,7.10,7.10
190602,0.61,0.61
190702,-0.23,-0.23
190802,2.58,2.58
190902,1.04,1.04
191002,-1.56,-1.56
191102,1.68,1.68
191202,-2.32,-2.32
191302,2.92,2.92
191402,0.28,0.28
191502,2.84,2.84
191602,-0.49,-0.49
191702,0.06,0.06
191802,-0.22,-0.22
191902,1.37,1.37
192002,3.53,3.53
192102,-1.97,-1.97
192202,-0.51,-0.51
192302,-0.39,-0.39
192402,-1.90,-1.90
192502,-1.94,-1.94
192602,-1.52,-1.52
192702,2.63,2.63
192802,1.24,1.24
192902,-0.46,-0.46
193002,-1.85,-1.85
193102,4.17,4.17
193202,3.69,3.69
193302,0.17,0.17
193402,-1.89,-1.89
193502,2.09,2.09
193602,1.07,1.07
193702,1.17,1.17
193802,0.84,0.84
193902,0.87,0.87
194002,0.87,0.87
194102,2.50,2.50
194202,0.26,0.26
194302,-1.51,-1.51
194402,2.43,2.43
194502,-0.96,-0.96
194602,-1.55,-1.55
194702,-2.28,-2.28
194802,0.69,0.69
194902,0.15,0.15
195002,-0.81,-0.81
195102,-1.38,-1.38
195202,-0.93,-0.93
195302,-0.85,-0.85
195402,-1.94,-1.94
195502,-0.66,-0.66
195602,-0.88,-0.88
195702,-1.57,-1.57
195802,0.72,0.72
195902,0.08,0.08
196002,0.33,0.33
196102,-2.30,-2.30
196202,0.57,0.57
196302,-0.54,-0.54
196402,-1.74,-1.74
196502,0.61,0.61
196602,1.78,1.78
196702,-2.30,-2.30
196802,-0.32,-0.32
196902,0.49,0.49
197002,-2.18,-2.18
197102,-1.16,-1.16
197202,-2.66,-2.66
197302,2.75,2.75
197402,-1.74,-1.74
197502,-0.76,-0.76
197602,0.86,0.86
197702,-2.13,-2.13
197802,2.75,2.75
197902,0.84,0.84
198002,4.76,4.76
198102,-1.57,-1.57
198202,0.36,0.36
198302,1.28,1.28
198402,-2.03,-2.03
198502,0.70,0.70
198602,-0.07,-0.07
198702,1.03,1.03
198802,-0.41,-0.41
198902,-1.72,-1.72
199002,-0.08,-0.08
199102,-0.87,-0.87
199202,1.75,1.75
199302,5.58,5.58
199402,0.19,0.19
199502,0.69,0.69
199602,-1.53,-1.53
199702,-0.40,-0.40
199802,4.30,4.30
199902,-2.57,-2.57
200002,-2.23,-2.23
200102,0.15,0.15
200202,-2.58,-2.58
200302,2.07,2.07
200402,-0.02,-0.02
200502,5.16,5.16
200602,-3.20,-3.20
200702,-1.57,-1.57
200802,0.68,0.68
200902,-0.41,-0.41
201002,1.36,1.36
201102,-0.01,-0.01
201202,-1.63,-1.63
201302,-0.78,-0.78
201402,-3.10,-3.10
201502,-1.77,-1.77
201602,-2.51,-2.51
201702,0.18,0.18
201802,-0.96,-0.96
