Arizona, Palmer Z-Index, March
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189503,-1.05,-0.85
189603,-1.27,-1.07
189703,0.10,0.30
189803,-0.53,-0.33
189903,-1.63,-1.43
190003,-2.65,-2.45
190103,-0.76,-0.56
190203,-0.83,-0.63
190303,0.16,0.36
190403,-2.83,-2.63
190503,5.00,5.20
190603,2.33,2.53
190703,0.28,0.48
190803,-0.76,-0.56
190903,1.11,1.31
191003,-1.90,-1.70
191103,-0.16,0.04
191203,3.07,3.27
191303,-0.84,-0.64
191403,-1.13,-0.93
191503,0.11,0.31
191603,0.34,0.54
191703,-1.09,-0.89
191803,0.87,1.07
191903,0.26,0.46
192003,1.50,1.70
192103,-2.37,-2.17
192203,0.83,1.03
192303,0.01,0.21
192403,1.45,1.65
192503,-0.84,-0.64
192603,0.73,0.93
192703,0.62,0.82
192803,-1.64,-1.44
192903,-1.07,-0.87
193003,1.42,1.62
193103,-1.18,-0.98
193203,-0.85,-0.65
193303,-1.75,-1.55
193403,-3.79,-3.59
193503,1.03,1.23
193603,-0.48,-0.28
193703,1.77,1.97
193803,2.27,2.47
193903,-0.53,-0.33
194003,-2.02,-1.82
194103,4.01,4.21
194203,-0.69,-0.49
194303,0.07,0.27
194403,0.52,0.72
194503,2.20,2.40
194603,-1.11,-0.91
194703,-2.45,-2.25
194803,0.37,0.57
194903,-0.49,-0.29
195003,-1.27,-1.07
195103,-0.93,-0.73
195203,3.08,3.28
195303,-0.39,-0.19
195403,2.48,2.68
195503,-1.69,-1.49
195603,-2.32,-2.12
195703,-0.62,-0.42
195803,3.03,3.23
195903,-2.22,-2.02
196003,-1.27,-1.07
196103,-0.25,-0.05
196203,0.13,0.33
196303,-0.66,-0.46
196403,0.26,0.46
196503,0.67,0.87
196603,-1.03,-0.83
196703,-1.92,-1.72
196803,0.24,0.44
196903,0.11,0.31
197003,2.32,2.52
197103,-2.44,-2.24
197203,-4.19,-3.99
197303,5.00,5.20
197403,-1.11,-0.91
197503,1.01,1.21
197603,-0.75,-0.55
197703,-0.91,-0.71
197803,3.27,3.47
197903,2.60,2.80
198003,1.59,1.79
198103,1.31,1.51
198203,1.69,1.89
198303,3.99,4.19
198403,-1.83,-1.63
198503,0.49,0.69
198603,0.41,0.61
198703,-0.16,0.04
198803,-1.70,-1.50
198903,-1.85,-1.65
199003,-1.06,-0.86
199103,4.28,4.48
199203,3.74,3.94
199303,0.50,0.70
199403,-0.25,-0.05
199503,1.02,1.22
199603,-2.47,-2.27
199703,-2.73,-2.53
199803,2.00,2.20
199903,-3.13,-2.93
200003,0.26,0.46
200103,-0.19,0.01
200203,-2.48,-2.28
200303,-0.09,0.11
200403,-2.25,-2.05
200503,0.17,0.37
200603,0.03,0.23
200703,-1.77,-1.57
200803,-1.88,-1.68
200903,-2.14,-1.94
201003,0.38,0.58
201103,-2.05,-1.85
201203,-1.40,-1.20
201303,-1.74,-1.54
201403,-1.97,-1.77
201503,-1.33,-1.13
201603,-3.34,-3.14
201703,-2.15,-1.95
