Arizona, Palmer Z-Index, May
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189505,2.72,2.73
189605,-1.89,-1.88
189705,0.15,0.16
189805,-0.57,-0.56
189905,-1.37,-1.36
190005,-2.01,-2.00
190105,-0.15,-0.14
190205,-1.91,-1.90
190305,-0.42,-0.41
190405,-1.82,-1.81
190505,4.11,4.12
190605,2.89,2.90
190705,3.20,3.21
190805,-0.08,-0.07
190905,0.88,0.89
191005,-1.68,-1.67
191105,-0.17,-0.16
191205,0.25,0.26
191305,-0.56,-0.55
191405,-0.34,-0.33
191505,3.97,3.98
191605,2.18,2.19
191705,2.35,2.36
191805,-0.94,-0.93
191905,1.54,1.55
192005,3.87,3.88
192105,-1.43,-1.42
192205,1.14,1.15
192305,-1.74,-1.73
192405,0.74,0.75
192505,-1.98,-1.97
192605,1.25,1.26
192705,0.96,0.97
192805,-0.19,-0.18
192905,-1.72,-1.71
193005,0.56,0.57
193105,0.83,0.84
193205,2.48,2.49
193305,0.70,0.71
193405,-2.02,-2.01
193505,2.05,2.06
193605,-1.39,-1.38
193705,1.97,1.98
193805,-0.03,-0.02
193905,-0.54,-0.53
194005,-1.94,-1.93
194105,5.58,5.59
194205,-0.83,-0.82
194305,-1.92,-1.91
194405,1.67,1.68
194505,0.16,0.17
194605,-1.77,-1.76
194705,-1.43,-1.42
194805,-1.29,-1.28
194905,1.17,1.18
195005,-1.96,-1.95
195105,-1.53,-1.52
195205,2.54,2.55
195305,-0.88,-0.87
195405,-0.90,-0.89
195505,-1.26,-1.25
195605,-2.65,-2.64
195705,1.03,1.04
195805,1.31,1.32
195905,-2.34,-2.33
196005,0.50,0.51
196105,-2.54,-2.53
196205,-0.22,-0.21
196305,-2.69,-2.68
196405,-2.24,-2.23
196505,2.25,2.26
196605,1.98,1.99
196705,-1.44,-1.43
196805,0.74,0.75
196905,0.74,0.75
197005,-1.78,-1.77
197105,-1.44,-1.43
197205,-2.09,-2.08
197305,5.15,5.16
197405,-2.43,-2.42
197505,-0.10,-0.09
197605,-0.11,-0.10
197705,-1.17,-1.16
197805,3.40,3.41
197905,5.18,5.19
198005,2.78,2.79
198105,-1.05,-1.04
198205,1.31,1.32
198305,3.73,3.74
198405,-2.68,-2.67
198505,2.00,2.01
198605,-1.41,-1.40
198705,0.68,0.69
198805,-0.17,-0.16
198905,-2.25,-2.24
199005,-1.41,-1.40
199105,0.72,0.73
199205,5.68,5.69
199305,3.65,3.66
199405,-0.94,-0.93
199505,2.47,2.48
199605,-3.14,-3.13
199705,-1.63,-1.62
199805,2.47,2.48
199905,-2.31,-2.30
200005,-3.55,-3.54
200105,0.34,0.35
200205,-2.94,-2.93
200305,-1.84,-1.83
200405,-2.60,-2.59
200505,4.07,4.08
200605,-3.29,-3.28
200705,-2.49,-2.48
200805,1.27,1.28
200905,-0.93,-0.92
201005,1.23,1.24
201105,-1.45,-1.44
201205,-2.86,-2.85
201305,-1.75,-1.74
201405,-2.78,-2.77
201505,0.74,0.75
201605,-1.17,-1.16
201705,0.04,0.05
