Arizona, Palmer Z-Index, June
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189506,1.69,1.75
189606,-2.14,-2.08
189706,-0.61,-0.55
189806,0.01,0.07
189906,-0.01,0.05
190006,-2.74,-2.68
190106,-0.98,-0.92
190206,-2.83,-2.77
190306,0.70,0.76
190406,-2.58,-2.52
190506,6.98,7.04
190606,2.56,2.62
190706,3.14,3.20
190806,-0.59,-0.53
190906,1.35,1.41
191006,-0.96,-0.90
191106,1.24,1.30
191206,0.00,0.06
191306,-0.44,-0.38
191406,0.54,0.60
191506,6.08,6.14
191606,1.93,1.99
191706,1.15,1.21
191806,0.37,0.43
191906,0.49,0.55
192006,4.35,4.41
192106,-1.90,-1.84
192206,1.49,1.55
192306,-1.88,-1.82
192406,0.18,0.24
192506,0.05,0.11
192606,-1.84,-1.78
192706,2.55,2.61
192806,-1.51,-1.45
192906,-2.03,-1.97
193006,-0.42,-0.36
193106,1.35,1.41
193206,2.73,2.79
193306,1.83,1.89
193406,-1.91,-1.85
193506,1.94,2.00
193606,-1.52,-1.46
193706,1.82,1.88
193806,1.23,1.29
193906,-1.00,-0.94
194006,-1.07,-1.01
194106,5.88,5.94
194206,-0.97,-0.91
194306,-1.32,-1.26
194406,0.66,0.72
194506,0.00,0.06
194606,-2.18,-2.12
194706,-2.07,-2.01
194806,-0.66,-0.60
194906,2.47,2.53
195006,-1.46,-1.40
195106,-2.43,-2.37
195206,3.16,3.22
195306,-0.91,-0.85
195406,-0.47,-0.41
195506,0.27,0.33
195606,-2.26,-2.20
195706,0.32,0.38
195806,0.57,0.63
195906,-2.20,-2.14
196006,0.19,0.25
196106,-2.71,-2.65
196206,0.36,0.42
196306,-2.14,-2.08
196406,-2.08,-2.02
196506,1.49,1.55
196606,1.43,1.49
196706,-0.74,-0.68
196806,0.91,0.97
196906,-0.53,-0.47
197006,-1.61,-1.55
197106,-2.62,-2.56
197206,0.10,0.16
197306,5.04,5.10
197406,-2.80,-2.74
197506,-1.57,-1.51
197606,-1.74,-1.68
197706,-1.93,-1.87
197806,3.36,3.42
197906,5.12,5.18
198006,3.59,3.65
198106,-1.76,-1.70
198206,-0.33,-0.27
198306,3.84,3.90
198406,-1.20,-1.14
198506,1.33,1.39
198606,-1.13,-1.07
198706,0.20,0.26
198806,0.79,0.85
198906,-2.62,-2.56
199006,-2.05,-1.99
199106,1.36,1.42
199206,3.38,3.44
199306,2.25,2.31
199406,-2.17,-2.11
199506,2.68,2.74
199606,-2.48,-2.42
199706,-1.48,-1.42
199806,2.40,2.46
199906,-1.79,-1.73
200006,-1.21,-1.15
200106,-0.64,-0.58
200206,-3.25,-3.19
200306,-2.08,-2.02
200406,-2.33,-2.27
200506,2.58,2.64
200606,-2.45,-2.39
200706,-2.78,-2.72
200806,0.50,0.56
200906,-1.18,-1.12
201006,1.52,1.58
201106,-2.42,-2.36
201206,-2.82,-2.76
201306,-2.29,-2.23
201406,-3.12,-3.06
201506,0.34,0.40
201606,-1.84,-1.78
201706,-1.04,-0.98
