Arizona, Palmer Z-Index, September
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189509,-0.87,-0.79
189609,0.49,0.57
189709,2.89,2.97
189809,-2.66,-2.58
189909,-1.59,-1.51
190009,0.50,0.58
190109,-2.40,-2.32
190209,-0.94,-0.86
190309,1.49,1.57
190409,-1.47,-1.39
190509,1.83,1.91
190609,-1.39,-1.31
190709,-1.38,-1.30
190809,-0.18,-0.10
190909,0.47,0.55
191009,-2.28,-2.20
191109,2.78,2.86
191209,-1.95,-1.87
191309,-0.44,-0.36
191409,-1.48,-1.40
191509,-0.97,-0.89
191609,1.14,1.22
191709,-0.19,-0.11
191809,-1.88,-1.80
191909,2.81,2.89
192009,-0.59,-0.51
192109,-1.34,-1.26
192209,-1.10,-1.02
192309,1.69,1.77
192409,-0.79,-0.71
192509,1.75,1.83
192609,2.30,2.38
192709,3.34,3.42
192809,-2.28,-2.20
192909,1.69,1.77
193009,-0.31,-0.23
193109,0.15,0.23
193209,-1.53,-1.45
193309,0.30,0.38
193409,-1.67,-1.59
193509,0.58,0.66
193609,0.42,0.50
193709,0.63,0.71
193809,-1.40,-1.32
193909,4.56,4.64
194009,3.87,3.95
194109,2.30,2.38
194209,-1.39,-1.31
194309,0.72,0.80
194409,0.30,0.38
194509,-2.57,-2.49
194609,2.14,2.22
194709,-1.92,-1.84
194809,-1.60,-1.52
194909,0.55,0.63
195009,-0.75,-0.67
195109,-1.84,-1.76
195209,-0.07,0.01
195309,-3.19,-3.11
195409,0.26,0.34
195509,-2.85,-2.77
195609,-3.34,-3.26
195709,-2.89,-2.81
195809,3.32,3.40
195909,-2.25,-2.17
196009,-0.53,-0.45
196109,0.10,0.18
196209,1.73,1.81
196309,0.19,0.27
196409,1.60,1.68
196509,0.84,0.92
196609,1.11,1.19
196709,1.39,1.47
196809,-2.57,-2.49
196909,-0.11,-0.03
197009,2.09,2.17
197109,0.86,0.94
197209,-0.59,-0.51
197309,-2.56,-2.48
197409,-0.23,-0.15
197509,0.96,1.04
197609,3.16,3.24
197709,0.15,0.23
197809,-1.25,-1.17
197909,-2.94,-2.86
198009,-0.90,-0.82
198109,-0.04,0.04
198209,0.74,0.82
198309,5.19,5.27
198409,1.13,1.21
198509,2.23,2.31
198609,0.47,0.55
198709,-1.06,-0.98
198809,-1.49,-1.41
198909,-2.58,-2.50
199009,2.07,2.15
199109,-0.22,-0.14
199209,-1.70,-1.62
199309,-2.10,-2.02
199409,0.27,0.35
199509,-0.07,0.01
199609,1.87,1.95
199709,2.07,2.15
199809,0.48,0.56
199909,1.42,1.50
200009,-2.95,-2.87
200109,-2.53,-2.45
200209,1.49,1.57
200309,-0.66,-0.58
200409,0.97,1.05
200509,-2.13,-2.05
200609,0.82,0.90
200709,-0.81,-0.73
200809,-1.66,-1.58
200909,-1.58,-1.50
201009,-1.94,-1.86
201109,-0.08,0.00
201209,-0.57,-0.49
201309,1.66,1.74
201409,2.95,3.03
201509,0.03,0.11
201609,0.42,0.50
201709,-1.57,-1.49
