Arizona, Precipitation, November
Units: Inches
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189511,2.11,1.29
189611,0.49,-0.33
189711,0.11,-0.71
189811,0.49,-0.33
189911,0.56,-0.26
190011,1.33,0.51
190111,0.26,-0.56
190211,1.63,0.81
190311,0.00,-0.82
190411,0.01,-0.81
190511,3.77,2.95
190611,1.62,0.80
190711,0.71,-0.11
190811,0.42,-0.40
190911,0.87,0.05
191011,1.93,1.11
191111,0.02,-0.80
191211,0.06,-0.76
191311,1.84,1.02
191411,0.75,-0.07
191511,0.87,0.05
191611,0.01,-0.81
191711,0.02,-0.80
191811,1.27,0.45
191911,2.47,1.65
192011,0.18,-0.64
192111,0.29,-0.53
192211,1.19,0.37
192311,2.10,1.28
192411,0.16,-0.66
192511,0.69,-0.13
192611,0.29,-0.53
192711,0.40,-0.42
192811,0.69,-0.13
192911,0.13,-0.69
193011,1.62,0.80
193111,2.45,1.63
193211,0.00,-0.82
193311,0.97,0.15
193411,0.90,0.08
193511,1.03,0.21
193611,0.71,-0.11
193711,0.07,-0.75
193811,0.10,-0.72
193911,1.18,0.36
194011,1.15,0.33
194111,0.93,0.11
194211,0.12,-0.70
194311,0.06,-0.76
194411,1.68,0.86
194511,0.02,-0.80
194611,1.33,0.51
194711,0.75,-0.07
194811,0.03,-0.79
194911,0.36,-0.46
195011,0.14,-0.68
195111,0.95,0.13
195211,1.97,1.15
195311,0.39,-0.43
195411,0.12,-0.70
195511,0.50,-0.32
195611,0.02,-0.80
195711,0.91,0.09
195811,0.69,-0.13
195911,0.71,-0.11
196011,0.49,-0.33
196111,0.65,-0.17
196211,0.72,-0.10
196311,1.28,0.46
196411,0.80,-0.02
196511,1.78,0.96
196611,0.77,-0.05
196711,0.91,0.09
196811,0.79,-0.03
196911,1.20,0.38
197011,0.41,-0.41
197111,0.43,-0.39
197211,1.29,0.47
197311,0.88,0.06
197411,0.52,-0.30
197511,1.01,0.19
197611,0.36,-0.46
197711,0.35,-0.47
197811,3.14,2.32
197911,0.50,-0.32
198011,0.08,-0.74
198111,1.23,0.41
198211,2.02,1.20
198311,1.16,0.34
198411,0.93,0.11
198511,2.33,1.51
198611,1.20,0.38
198711,1.62,0.80
198811,0.72,-0.10
198911,0.05,-0.77
199011,0.80,-0.02
199111,1.22,0.40
199211,0.14,-0.68
199311,1.52,0.70
199411,1.33,0.51
199511,0.58,-0.24
199611,0.79,-0.03
199711,0.59,-0.23
199811,0.93,0.11
199911,0.00,-0.82
200011,0.84,0.02
200111,0.29,-0.53
200211,0.64,-0.18
200311,1.15,0.33
200411,1.76,0.94
200511,0.06,-0.76
200611,0.07,-0.75
200711,0.60,-0.22
200811,0.89,0.07
200911,0.15,-0.67
201011,0.19,-0.63
201111,0.92,0.10
201211,0.21,-0.61
201311,1.86,1.04
201411,0.11,-0.71
201511,0.76,-0.06
201611,0.94,0.12
201711,0.02,-0.80
