Arizona, Precipitation, February
Units: Inches
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189502,0.53,-0.56
189602,0.22,-0.87
189702,1.00,-0.09
189802,0.15,-0.94
189902,0.42,-0.67
190002,0.25,-0.84
190102,2.36,1.27
190202,0.37,-0.72
190302,1.00,-0.09
190402,0.49,-0.60
190502,4.44,3.35
190602,1.20,0.11
190702,0.76,-0.33
190802,2.47,1.38
190902,1.34,0.25
191002,0.13,-0.96
191102,1.75,0.66
191202,0.19,-0.90
191302,2.44,1.35
191402,1.12,0.03
191502,1.97,0.88
191602,0.55,-0.54
191702,0.85,-0.24
191802,1.02,-0.07
191902,1.41,0.32
192002,2.71,1.62
192102,0.33,-0.76
192202,0.58,-0.51
192302,0.87,-0.22
192402,0.05,-1.04
192502,0.29,-0.80
192602,0.59,-0.50
192702,2.45,1.36
192802,1.71,0.62
192902,0.70,-0.39
193002,0.39,-0.70
193102,3.27,2.18
193202,2.63,1.54
193302,0.61,-0.48
193402,0.76,-0.33
193502,2.07,0.98
193602,1.65,0.56
193702,1.34,0.25
193802,1.59,0.50
193902,1.08,-0.01
194002,1.72,0.63
194102,2.11,1.02
194202,0.98,-0.11
194302,0.51,-0.58
194402,2.16,1.07
194502,0.54,-0.55
194602,0.21,-0.88
194702,0.22,-0.87
194802,1.36,0.27
194902,0.58,-0.51
195002,0.91,-0.18
195102,0.46,-0.63
195202,0.34,-0.75
195302,0.56,-0.53
195402,0.55,-0.54
195502,0.49,-0.60
195602,0.58,-0.51
195702,0.62,-0.47
195802,1.70,0.61
195902,1.31,0.22
196002,0.79,-0.30
196102,0.14,-0.95
196202,1.25,0.16
196302,1.18,0.09
196402,0.14,-0.95
196502,1.28,0.19
196602,1.25,0.16
196702,0.08,-1.01
196802,0.94,-0.15
196902,1.18,0.09
197002,0.42,-0.67
197102,0.70,-0.39
197202,0.01,-1.08
197302,2.02,0.93
197402,0.14,-0.95
197502,0.72,-0.37
197602,1.89,0.80
197702,0.21,-0.88
197802,2.31,1.22
197902,0.72,-0.37
198002,3.52,2.43
198102,0.76,-0.33
198202,1.36,0.27
198302,1.42,0.33
198402,0.09,-1.00
198502,0.97,-0.12
198602,1.35,0.26
198702,1.51,0.42
198802,0.89,-0.20
198902,0.34,-0.75
199002,1.07,-0.02
199102,0.89,-0.20
199202,1.93,0.84
199302,3.17,2.08
199402,1.24,0.15
199502,1.47,0.38
199602,1.08,-0.01
199702,0.91,-0.18
199802,3.06,1.97
199902,0.36,-0.73
200002,0.59,-0.50
200102,1.00,-0.09
200202,0.10,-0.99
200302,2.44,1.35
200402,1.07,-0.02
200502,3.35,2.26
200602,0.04,-1.05
200702,0.56,-0.53
200802,1.19,0.10
200902,1.02,-0.07
201002,1.44,0.35
201102,1.05,-0.04
201202,0.43,-0.66
201302,0.51,-0.58
201402,0.16,-0.93
201502,0.64,-0.45
201602,0.29,-0.80
201702,1.26,0.17
201802,1.05,-0.04
