Arizona, Precipitation, March
Units: Inches
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189503,0.22,-0.81
189603,0.66,-0.37
189703,0.77,-0.26
189803,0.71,-0.32
189903,0.20,-0.83
190003,0.66,-0.37
190103,0.53,-0.50
190203,0.65,-0.38
190303,1.06,0.03
190403,0.35,-0.68
190503,3.47,2.44
190603,2.10,1.07
190703,1.07,0.04
190803,0.76,-0.27
190903,1.32,0.29
191003,0.62,-0.41
191103,1.13,0.10
191203,3.00,1.97
191303,0.32,-0.71
191403,0.61,-0.42
191503,0.75,-0.28
191603,1.30,0.27
191703,0.14,-0.89
191803,1.66,0.63
191903,0.91,-0.12
192003,1.47,0.44
192103,0.47,-0.56
192203,1.21,0.18
192303,0.88,-0.15
192403,1.54,0.51
192503,0.93,-0.10
192603,1.75,0.72
192703,1.15,0.12
192803,0.36,-0.67
192903,0.38,-0.65
193003,1.86,0.83
193103,0.31,-0.72
193203,0.34,-0.69
193303,0.02,-1.01
193403,0.24,-0.79
193503,1.33,0.30
193603,0.87,-0.16
193703,1.73,0.70
193803,2.12,1.09
193903,0.72,-0.31
194003,0.24,-0.79
194103,2.86,1.83
194203,0.46,-0.57
194303,1.33,0.30
194403,1.05,0.02
194503,1.94,0.91
194603,0.56,-0.47
194703,0.12,-0.91
194803,0.92,-0.11
194903,0.54,-0.49
195003,0.49,-0.54
195103,0.50,-0.53
195203,2.27,1.24
195303,0.92,-0.11
195403,2.40,1.37
195503,0.09,-0.94
195603,0.04,-0.99
195703,0.89,-0.14
195803,2.39,1.36
195903,0.01,-1.02
196003,0.49,-0.54
196103,1.20,0.17
196203,0.76,-0.27
196303,0.64,-0.39
196403,1.10,0.07
196503,1.16,0.13
196603,0.32,-0.71
196703,0.54,-0.49
196803,1.07,0.04
196903,0.83,-0.20
197003,2.49,1.46
197103,0.10,-0.93
197203,0.01,-1.02
197303,3.16,2.13
197403,0.80,-0.23
197503,1.46,0.43
197603,0.54,-0.49
197703,0.47,-0.56
197803,2.85,1.82
197903,2.03,1.00
198003,1.57,0.54
198103,2.05,1.02
198203,1.88,0.85
198303,2.90,1.87
198403,0.37,-0.66
198503,1.10,0.07
198603,1.70,0.67
198703,0.75,-0.28
198803,0.12,-0.91
198903,0.77,-0.26
199003,0.73,-0.30
199103,3.07,2.04
199203,2.91,1.88
199303,1.15,0.12
199403,1.24,0.21
199503,1.52,0.49
199603,0.37,-0.66
199703,0.11,-0.92
199803,1.90,0.87
199903,0.19,-0.84
200003,1.73,0.70
200103,1.04,0.01
200203,0.22,-0.81
200303,1.07,0.04
200403,0.75,-0.28
200503,0.86,-0.17
200603,1.41,0.38
200703,0.83,-0.20
200803,0.07,-0.96
200903,0.17,-0.86
201003,1.03,0.00
201103,0.33,-0.70
201203,0.69,-0.34
201303,0.57,-0.46
201403,0.90,-0.13
201503,1.12,0.09
201603,0.11,-0.92
201703,0.41,-0.62
