Arizona, Precipitation, April
Units: Inches
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189504,0.08,-0.47
189604,0.26,-0.29
189704,0.13,-0.42
189804,0.58,0.03
189904,0.22,-0.33
190004,1.74,1.19
190104,0.14,-0.41
190204,0.07,-0.48
190304,0.40,-0.15
190404,0.03,-0.52
190504,2.07,1.52
190604,0.80,0.25
190704,0.59,0.04
190804,0.69,0.14
190904,0.19,-0.36
191004,0.40,-0.15
191104,0.27,-0.28
191204,1.07,0.52
191304,0.34,-0.21
191404,0.34,-0.21
191504,1.58,1.03
191604,0.44,-0.11
191704,1.44,0.89
191804,0.15,-0.40
191904,0.61,0.06
192004,0.29,-0.26
192104,0.33,-0.22
192204,0.61,0.06
192304,0.56,0.01
192404,0.67,0.12
192504,0.85,0.30
192604,2.35,1.80
192704,0.54,-0.01
192804,0.29,-0.26
192904,0.64,0.09
193004,0.49,-0.06
193104,1.21,0.66
193204,0.45,-0.10
193304,0.75,0.20
193404,0.67,0.12
193504,0.47,-0.08
193604,0.15,-0.40
193704,0.14,-0.41
193804,0.20,-0.35
193904,0.60,0.05
194004,0.78,0.23
194104,2.09,1.54
194204,1.12,0.57
194304,0.42,-0.13
194404,0.78,0.23
194504,0.18,-0.37
194604,0.71,0.16
194704,0.05,-0.50
194804,0.11,-0.44
194904,0.40,-0.15
195004,0.03,-0.52
195104,1.42,0.87
195204,1.69,1.14
195304,0.54,-0.01
195404,0.05,-0.50
195504,0.15,-0.40
195604,0.36,-0.19
195704,0.50,-0.05
195804,1.00,0.45
195904,0.39,-0.16
196004,0.24,-0.31
196104,0.19,-0.36
196204,0.04,-0.51
196304,0.44,-0.11
196404,0.72,0.17
196504,1.58,1.03
196604,0.15,-0.40
196704,0.41,-0.14
196804,0.51,-0.04
196904,0.11,-0.44
197004,0.41,-0.14
197104,0.32,-0.23
197204,0.11,-0.44
197304,0.34,-0.21
197404,0.16,-0.39
197504,0.82,0.27
197604,1.04,0.49
197704,0.39,-0.16
197804,0.56,0.01
197904,0.18,-0.37
198004,0.61,0.06
198104,0.48,-0.07
198204,0.25,-0.30
198304,0.60,0.05
198404,0.60,0.05
198504,1.03,0.48
198604,0.36,-0.19
198704,0.37,-0.18
198804,2.04,1.49
198904,0.01,-0.54
199004,0.69,0.14
199104,0.01,-0.54
199204,0.36,-0.19
199304,0.05,-0.50
199404,0.61,0.06
199504,0.63,0.08
199604,0.06,-0.49
199704,0.76,0.21
199804,0.63,0.08
199904,1.37,0.82
200004,0.11,-0.44
200104,0.97,0.42
200204,0.18,-0.37
200304,0.29,-0.26
200404,1.32,0.77
200504,0.70,0.15
200604,0.24,-0.31
200704,0.24,-0.31
200804,0.02,-0.53
200904,0.29,-0.26
201004,0.27,-0.28
201104,0.41,-0.14
201204,0.32,-0.23
201304,0.20,-0.35
201404,0.24,-0.31
201504,0.42,-0.13
201604,0.80,0.25
201704,0.19,-0.36
