Arizona, Precipitation, June
Units: Inches
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189506,0.09,-0.19
189606,0.15,-0.13
189706,0.07,-0.21
189806,0.69,0.41
189906,0.65,0.37
190006,0.08,-0.20
190106,0.06,-0.22
190206,0.08,-0.20
190306,0.68,0.40
190406,0.08,-0.20
190506,0.28,0.00
190606,0.01,-0.27
190706,0.23,-0.05
190806,0.08,-0.20
190906,0.12,-0.16
191006,0.37,0.09
191106,0.59,0.31
191206,0.49,0.21
191306,0.11,-0.17
191406,0.65,0.37
191506,0.33,0.05
191606,0.00,-0.28
191706,0.02,-0.26
191806,0.73,0.45
191906,0.18,-0.10
192006,0.53,0.25
192106,0.33,0.05
192206,0.48,0.20
192306,0.01,-0.27
192406,0.09,-0.19
192506,0.83,0.55
192606,0.14,-0.14
192706,0.85,0.57
192806,0.02,-0.26
192906,0.05,-0.23
193006,0.37,0.09
193106,0.61,0.33
193206,0.35,0.07
193306,0.40,0.12
193406,0.21,-0.07
193506,0.07,-0.21
193606,0.21,-0.07
193706,0.44,0.16
193806,0.74,0.46
193906,0.03,-0.25
194006,0.61,0.33
194106,0.27,-0.01
194206,0.01,-0.27
194306,0.28,0.00
194406,0.05,-0.23
194506,0.06,-0.22
194606,0.05,-0.23
194706,0.13,-0.15
194806,0.32,0.04
194906,0.73,0.45
195006,0.32,0.04
195106,0.00,-0.28
195206,0.64,0.36
195306,0.18,-0.10
195406,0.52,0.24
195506,0.73,0.45
195606,0.31,0.03
195706,0.52,0.24
195806,0.39,0.11
195906,0.36,0.08
196006,0.18,-0.10
196106,0.17,-0.11
196206,0.33,0.05
196306,0.03,-0.25
196406,0.19,-0.09
196506,0.39,0.11
196606,0.34,0.06
196706,0.55,0.27
196806,0.24,-0.04
196906,0.12,-0.16
197006,0.18,-0.10
197106,0.03,-0.25
197206,1.01,0.73
197306,0.53,0.25
197406,0.02,-0.26
197506,0.03,-0.25
197606,0.08,-0.20
197706,0.34,0.06
197806,0.13,-0.15
197906,0.35,0.07
198006,0.10,-0.18
198106,0.44,0.16
198206,0.05,-0.23
198306,0.06,-0.22
198406,0.47,0.19
198506,0.13,-0.15
198606,0.41,0.13
198706,0.35,0.07
198806,0.55,0.27
198906,0.03,-0.25
199006,0.28,0.00
199106,0.31,0.03
199206,0.21,-0.07
199306,0.14,-0.14
199406,0.23,-0.05
199506,0.13,-0.15
199606,0.26,-0.02
199706,0.25,-0.03
199806,0.07,-0.21
199906,0.36,0.08
200006,0.73,0.45
200106,0.24,-0.04
200206,0.01,-0.27
200306,0.05,-0.23
200406,0.09,-0.19
200506,0.21,-0.07
200606,0.34,0.06
200706,0.12,-0.16
200806,0.15,-0.13
200906,0.34,0.06
201006,0.08,-0.20
201106,0.02,-0.26
201206,0.08,-0.20
201306,0.03,-0.25
201406,0.01,-0.27
201506,0.80,0.52
201606,0.43,0.15
201706,0.06,-0.22
