Arizona, Precipitation, July
Units: Inches
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189507,1.00,-0.79
189607,3.03,1.24
189707,1.10,-0.69
189807,1.79,0.00
189907,1.65,-0.14
190007,0.65,-1.14
190107,1.43,-0.36
190207,0.63,-1.16
190307,1.16,-0.63
190407,2.03,0.24
190507,0.98,-0.81
190607,2.06,0.27
190707,1.63,-0.16
190807,2.77,0.98
190907,2.15,0.36
191007,1.88,0.09
191107,3.31,1.52
191207,2.90,1.11
191307,1.75,-0.04
191407,3.08,1.29
191507,2.53,0.74
191607,2.26,0.47
191707,2.99,1.20
191807,1.95,0.16
191907,4.37,2.58
192007,0.95,-0.84
192107,3.66,1.87
192207,1.73,-0.06
192307,2.32,0.53
192407,1.62,-0.17
192507,1.67,-0.12
192607,1.56,-0.23
192707,1.55,-0.24
192807,1.31,-0.48
192907,2.61,0.82
193007,2.57,0.78
193107,1.93,0.14
193207,2.27,0.48
193307,1.82,0.03
193407,1.03,-0.76
193507,1.24,-0.55
193607,2.19,0.40
193707,1.61,-0.18
193807,1.17,-0.62
193907,1.03,-0.76
194007,0.77,-1.02
194107,1.57,-0.22
194207,1.26,-0.53
194307,0.73,-1.06
194407,0.92,-0.87
194507,1.95,0.16
194607,2.13,0.34
194707,0.79,-1.00
194807,1.37,-0.42
194907,1.77,-0.02
195007,2.84,1.05
195107,1.48,-0.31
195207,1.60,-0.19
195307,2.99,1.20
195407,2.46,0.67
195507,2.91,1.12
195607,1.80,0.01
195707,1.78,-0.01
195807,1.13,-0.66
195907,1.76,-0.03
196007,0.92,-0.87
196107,1.61,-0.18
196207,1.05,-0.74
196307,0.82,-0.97
196407,2.23,0.44
196507,1.98,0.19
196607,1.81,0.02
196707,2.65,0.86
196807,2.31,0.52
196907,2.01,0.22
197007,1.61,-0.18
197107,1.20,-0.59
197207,1.15,-0.64
197307,1.33,-0.46
197407,2.30,0.51
197507,2.15,0.36
197607,2.45,0.66
197707,1.79,0.00
197807,1.14,-0.65
197907,1.03,-0.76
198007,1.40,-0.39
198107,2.04,0.25
198207,1.43,-0.36
198307,1.88,0.09
198407,3.46,1.67
198507,1.89,0.10
198607,2.02,0.23
198707,1.25,-0.54
198807,1.61,-0.18
198907,1.57,-0.22
199007,2.93,1.14
199107,0.90,-0.89
199207,1.72,-0.07
199307,0.35,-1.44
199407,0.94,-0.85
199507,0.60,-1.19
199607,1.70,-0.09
199707,0.82,-0.97
199807,2.35,0.56
199907,3.39,1.60
200007,0.53,-1.26
200107,1.50,-0.29
200207,1.31,-0.48
200307,1.25,-0.54
200407,1.14,-0.65
200507,1.05,-0.74
200607,2.49,0.70
200707,2.27,0.48
200807,2.25,0.46
200907,1.09,-0.70
201007,1.97,0.18
201107,1.76,-0.03
201207,2.52,0.73
201307,2.68,0.89
201407,1.86,0.07
201507,1.91,0.12
201607,1.39,-0.40
201707,2.94,1.15
