Arizona, Precipitation, August
Units: Inches
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189508,2.18,0.12
189608,2.19,0.13
189708,1.61,-0.45
189808,2.10,0.04
189908,1.49,-0.57
190008,1.05,-1.01
190108,1.69,-0.37
190208,1.77,-0.29
190308,1.46,-0.60
190408,3.50,1.44
190508,1.41,-0.65
190608,3.06,1.00
190708,2.69,0.63
190808,2.48,0.42
190908,4.03,1.97
191008,1.77,-0.29
191108,1.37,-0.69
191208,1.93,-0.13
191308,1.72,-0.34
191408,1.74,-0.32
191508,1.19,-0.87
191608,2.14,0.08
191708,1.28,-0.78
191808,2.13,0.07
191908,1.78,-0.28
192008,1.86,-0.20
192108,3.38,1.32
192208,2.48,0.42
192308,2.82,0.76
192408,0.65,-1.41
192508,2.03,-0.03
192608,1.09,-0.97
192708,2.45,0.39
192808,1.64,-0.42
192908,2.57,0.51
193008,2.02,-0.04
193108,3.41,1.35
193208,1.76,-0.30
193308,1.48,-0.58
193408,2.85,0.79
193508,3.37,1.31
193608,2.04,-0.02
193708,1.49,-0.57
193808,1.97,-0.09
193908,1.91,-0.15
194008,2.02,-0.04
194108,2.14,0.08
194208,1.75,-0.31
194308,2.71,0.65
194408,1.23,-0.83
194508,2.32,0.26
194608,2.62,0.56
194708,2.91,0.85
194808,1.88,-0.18
194908,1.22,-0.84
195008,0.82,-1.24
195108,4.22,2.16
195208,1.75,-0.31
195308,1.74,-0.32
195408,1.84,-0.22
195508,3.49,1.43
195608,1.02,-1.04
195708,2.63,0.57
195808,2.17,0.11
195908,3.12,1.06
196008,1.31,-0.75
196108,2.87,0.81
196208,0.62,-1.44
196308,3.88,1.82
196408,2.41,0.35
196508,1.34,-0.72
196608,2.02,-0.04
196708,2.37,0.31
196808,1.96,-0.10
196908,2.00,-0.06
197008,2.24,0.18
197108,3.57,1.51
197208,1.71,-0.35
197308,1.06,-1.00
197408,1.26,-0.80
197508,0.63,-1.43
197608,0.71,-1.35
197708,1.97,-0.09
197808,1.31,-0.75
197908,1.91,-0.15
198008,1.51,-0.55
198108,1.76,-0.30
198208,2.93,0.87
198308,3.00,0.94
198408,3.14,1.08
198508,0.97,-1.09
198608,2.48,0.42
198708,2.05,-0.01
198808,3.61,1.55
198908,1.61,-0.45
199008,2.30,0.24
199108,1.62,-0.44
199208,3.25,1.19
199308,2.88,0.82
199408,1.62,-0.44
199508,1.98,-0.08
199608,1.39,-0.67
199708,2.26,0.20
199808,1.60,-0.46
199908,2.55,0.49
200008,2.45,0.39
200108,2.04,-0.02
200208,0.87,-1.19
200308,1.80,-0.26
200408,1.48,-0.58
200508,2.43,0.37
200608,2.02,-0.04
200708,1.87,-0.19
200808,2.31,0.25
200908,0.66,-1.40
201008,1.84,-0.22
201108,1.28,-0.78
201208,2.22,0.16
201308,2.39,0.33
201408,3.13,1.07
201508,2.10,0.04
201608,2.57,0.51
201708,1.38,-0.68
